projectID,scientificAbbreviation,locality,decimalLatitude,decimalLongitude,depthOfColonyinMetersCorrected,EcoPlotID_full
ECT1,Aspat,Heron,-23.44016053,151.9802457,-1.2,Aspat_1771
ECT1,Aspat,Heron,-23.4401265,151.9802402,-1.2,Aspat_1772
ECT1,Aspat,Heron,-23.44011392,151.9802236,-1.2,Aspat_1773
ECT1,Aspat,Lady_Musgrave,-23.90832678,152.3865125,-1.1,Aspat_1625
ECT1,Aspat,Heron,-23.4402156,151.9805621,-1.1,Aspat_1759
ECT1,Aspat,Heron,-23.4402363,151.9805277,-1.1,Aspat_1760
ECT1,Ahya,Reef21-550,-21.95560763,152.2969331,-1,Ahya_12a
ECT1,Ahya,Pelorus,-18.55757117,146.5032075,-1,Ahya_223
ECT1,Ahya,Pelorus,-18.55761258,146.5031081,-1,Ahya_225
ECT1,Aspat,Lady_Musgrave,-23.90832494,152.3864977,-1,Aspat_1607
ECT1,Aspat,Lady_Musgrave,-23.90835813,152.3865083,-1,Aspat_1608
ECT1,Aspat,Lady_Musgrave,-23.90836962,152.3865145,-1,Aspat_1609
ECT1,Aspat,Lady_Musgrave,-23.90836618,152.3865228,-1,Aspat_1610
ECT1,Aspat,Heron,-23.43968485,151.9797746,-1,Aspat_1720
ECT1,Aspat,Heron,-23.43969902,151.9797729,-1,Aspat_1721
ECT1,Aspat,Heron,-23.43974303,151.9797493,-1,Aspat_1722
ECT1,Aspat,Heron,-23.43968452,151.9795906,-1,Aspat_1725
ECT1,Aspat,Heron,-23.43966071,151.9797433,-1,Aspat_1729
ECT1,Aspat,Heron,-23.43967086,151.9797437,-1,Aspat_1730
ECT1,Aspat,Heron,-23.44033973,151.9801186,-1,Aspat_1769
ECT1,Aspat,Heron,-23.44004955,151.9802609,-1,Aspat_1774
ECT1,Aken,North_Direction,-14.74257695,145.5125664,-1,Aken_1430
ECT1,Ahya,Reef21-550,-21.95513204,152.2968582,-0.9,Ahya_47a
ECT1,Ahya,St_Crispin,-16.07351429,145.8430737,-0.9,Ahya_163
ECT1,Ahya,Mackay,-16.03821072,145.6517553,-0.9,Ahya_792
ECT1,Ahya,Mackay,-16.0382455,145.6518697,-0.9,Ahya_794
ECT1,Ahya,Mackay,-16.03826755,145.6520129,-0.9,Ahya_796
ECT1,Aspat,Mackay,-16.038874,145.65117,-0.9,Aspat_688
ECT1,Aspat,Mackay,-16.038916,145.651136,-0.9,Aspat_694
ECT1,Aspat,St_Crispin,-16.075321,145.844441,-0.9,Aspat_745
ECT1,Aspat,Heron,-23.43975342,151.979739,-0.9,Aspat_1723
ECT1,Aspat,Heron,-23.44024049,151.9805168,-0.9,Aspat_1761
ECT1,Aspat,Heron,-23.44023286,151.9805083,-0.9,Aspat_1762
ECT1,Aspat,Heron,-23.44023538,151.9804982,-0.9,Aspat_1763
ECT1,Aspat,Heron,-23.44025072,151.9804624,-0.9,Aspat_1764
ECT1,Aspat,Heron,-23.44025264,151.9804592,-0.9,Aspat_1765
ECT1,Aspat,Heron,-23.44033797,151.9801228,-0.9,Aspat_1768
ECT1,Ahya,Reef21-550,-21.95580762,152.2967776,-0.8,Ahya_14a
ECT1,Aspat,Mackay,-16.038865,145.651194,-0.8,Aspat_686
ECT1,Aspat,Mackay,-16.038896,145.651138,-0.8,Aspat_691
ECT1,Aspat,Mackay,-16.038913,145.651157,-0.8,Aspat_692
ECT1,Aspat,Mackay,-16.038918,145.651119,-0.8,Aspat_695
ECT1,Aspat,St_Crispin,-16.075092,145.844421,-0.8,Aspat_720
ECT1,Aspat,St_Crispin,-16.075261,145.844333,-0.8,Aspat_740
ECT1,Aspat,St_Crispin,-16.075287,145.844367,-0.8,Aspat_743
ECT1,Aspat,St_Crispin,-16.075394,145.84435,-0.8,Aspat_747
