projectID,scientificAbbreviation,locality,decimalLatitude,decimalLongitude,depthOfColonyinMetersCorrected,EcoPlotID_full
ECO03,Pver,Orpheus,-18.57151,146.49538,7.4,PAOR_FL1D
ECO03,Pspe,Moore_Reef,-16.8819085,146.183834,7.7,ONMO_BA2D_P2
ECT1,Aken,Moore,-16.8461603,146.2324806,7.7,Aken_1087
ECO03,Pspe,Moore_Reef,-16.88184,146.1841005,8.2,ONMO_BA2D_P1
ECO03,Pmas,Moore_Reef,-16.847343,146.2172335,8.2,ONMO_BA1D_P4
ECO03,Pver,Moore_Reef,-16.881947,146.1837795,8.4,ONMO_BA2D
ECO03,Pdam,Masig,-9.763955,143.417,8.4,TSMA_FR1D
ECO03,Spis,Masig,-9.74409,143.41574,8.7,TSMA_BA2D_P4
ECO03,Pacu,Aukane,-9.88359,143.40722,8.8,TSAU_FR2D_P4
ECO03,Pmas,Moore_Reef,-16.881942,146.1837265,8.8,ONMO_BA2D_P3
ECO03,Pmas,Pelorus,-18.55088586,146.4881279,8.9,PAPE_BA1D_P1
ECO03,Pspe,Moore_Reef,-16.8820255,146.183502,9,ONMO_BA2D_P4
ECO03,Pspe,Masig,-9.74637,143.46012,9.2,TSMA_FR2D_P2
ECO03,Spis,Moore_Reef,-16.8471725,146.2174315,9.3,ONMO_BA1D
ECO03,Pver,Pelorus,-18.54083,146.48846,9.3,PAPE_BA2D
ECO03,Pdam,Moore_Reef,-16.847112,146.217435,9.4,ONMO_BA1D_P2
ECO03,Pmas,Moore_Reef,-16.8717695,146.253705,9.5,ONMO_FR1D_P4
ECO03,Pdam,Moore_Reef,-16.846986,146.217602,9.5,ONMO_BA1D_P1
ECO03,Pmas,Davies,-18.819265,147.66417,9.6,OCDA_FR1D_P4
ECO03,Pmas,Moore_Reef,-16.8483585,146.237261,9.6,ONMO_FL1D_P3
ECO03,Pspe,Masig,-9.748459816,143.4000397,9.8,TSMA_BA1D_P1
ECO03,Pmas,Davies,-18.81968177,147.663926,9.8,OCDA_FR1D_P1
ECO03,Pver,Moore_Reef,-16.8484505,146.2372885,9.9,ONMO_FL1D
ECO03,Spis,Davies,-18.81966,147.66394,9.9,OCDA_FR1D
ECO03,Pspe,Masig,-9.748929977,143.3995972,9.9,TSMA_BA1D_P4
ECO03,Pmas,Moore_Reef,-16.8485545,146.2374375,9.9,ONMO_FL1D_P1
ECO03,Shys,Davies,-18.81925,147.66413,10,OCDA_FR1D_P3
ECO03,Pspe,Pelorus,-18.5394,146.4995,10,PAPE_FR1D_P4
ECO03,Pspe,Moore_Reef,-16.848455,146.2373245,10,ONMO_FL1D_P2
ECO03,Pdam,Masig,-9.748577408,143.3999224,10.05,TSMA_BA1D_P12
ECO03,Pmas,Heron,-23.434092,151.9200315,10.1,CBHE_BA2D_P4
ECO03,Pmas,Moore_Reef,-16.859946,146.225974,10.1,ONMO_LA1D_P3
ECO03,Pmas,Moore_Reef,-16.8472235,146.2173485,10.1,ONMO_BA1D_P3
ECO03,Pmas,Moore_Reef,-16.8483175,146.2371315,10.1,ONMO_FL1D_P4
ECO03,Pver,Pelorus,-18.53935,146.4995,10.2,PAPE_FR1D
ECO03,Shys,Davies,-18.819375,147.664025,10.2,OCDA_FR1D_P2
ECO03,Pmas,Heron,-23.4340495,151.9201853,10.25,CBHE_BA2D_P34
ECO03,Spis,Moore_Reef,-16.8599245,146.2257455,10.3,ONMO_LA1D
ECO03,Pspe,Masig,-9.748812489,143.3997011,10.3,TSMA_BA1D_P34
ECO03,Pmas,Moore_Reef,-16.85986,146.2260415,10.3,ONMO_LA1D_P4
ECO03,Spis,Moore_Reef,-16.872083,146.2536695,10.4,ONMO_FR1D
ECO03,Spis,Pelorus,-18.55054,146.48822,10.4,PAPE_BA1D
ECO03,Shys,Heron,-23.434007,151.920339,10.4,CBHE_BA2D_P3
ECO03,Pmas,Davies,-18.83160726,147.652827,10.4,OCDA_FR2D_P4
ECO03,Pmas,Heron,-23.4708662,151.9513931,10.4,CBHE_FR2D_P4
ECO03,Shys,Heron,-23.4340395,151.920592,10.5,CBHE_BA2D_P1
ECO03,Shys,Heron,-23.43398,151.920474,10.5,CBHE_BA2D_P2
ECO03,Pmas,Moore_Reef,-16.860028,146.225458,10.5,ONMO_LA1D_P1
ECO03,Pmas,Moore_Reef,-16.8599965,146.2258945,10.5,ONMO_LA1D_P2
ECO03,Pmas,Pelorus,-18.55081125,146.4881377,10.5,PAPE_BA1D_P2
ECO03,Shys,Heron,-23.43400975,151.920533,10.5,CBHE_BA2D_P12
ECO03,Pmas,Moore_Reef,-16.8719915,146.253711,10.6,ONMO_FR1D_P3
ECO03,Pmas,Moore_Reef,-16.8723705,146.2536575,10.6,ONMO_FR1D_P1
ECO03,Pspe,Masig,-9.748695,143.399805,10.7,TSMA_BA1D_P3
ECO03,Pmas,Moore_Reef,-16.872129,146.2537205,10.8,ONMO_FR1D_P2
ECO03,Spis,Moore_Reef,-16.8830355,146.244797,10.9,ONMO_FR2D
ECO03,Pmas,Davies,-18.83180932,147.6526864,11,OCDA_FR2D_P2
ECO03,Pspe,Davies,-18.814355,147.636785,11,OCDA_BA2D_P4
ECO03,Pmas,Davies,-18.82595,147.627325,11,OCDA_BA1D_P1
