name,lat,lon
OCDA_FR2D,-18.83191,147.65257
PAPE_BA1D_P3,-18.55071515,146.4881948
PAPE_BA1D_P4,-18.55060351,146.488198
CBHE_FR2D_P1,-23.4708128,151.9507523
CBHE_BA1D_P3,-23.428095,151.952179
OCDA_FR2D_P3,-18.83173759,147.6527397
OCDA_BA2D_P2,-18.8143,147.637125
OCDA_BA1D_P2,-18.82586,147.627375
OCDA_BA1D,-18.82579,147.62735
CBHE_FR1D_P1,-23.472103,151.977764
CBHE_FR1D_P4,-23.4720925,151.978211
OCDA_BA2D_P3,-18.814315,147.6369
OCDA_FL1D_P4,-18.805595,147.66861
OCDA_BA1D_P4,-18.825645,147.62737
CBHE_FR1D,-23.472098,151.977937
CBHE_FR2D_P3,-23.47086716,151.9512024
CBHE_FR1D_P2,-23.4720845,151.977962
CBHE_BA1D_P4,-23.4281955,151.95204
CBHE_BA1D_P2,-23.4280535,151.952309
CBHE_BA1D_P1,-23.4280415,151.9524235
OCDA_FR2D_P1,-18.83197972,147.6525535
OCDA_BA2D_P1,-18.81434,147.63719
OCDA_BA1D_P3,-18.82578,147.627365
CBHE_FR2D_P2,-23.47084618,151.9509202
OCDA_FL1D_P1,-18.805915,147.668855
OCDA_FL1D,-18.80592,147.6688
OCDA_FL1D_P2,-18.80582,147.668845
OCDA_FL1D_P3,-18.805735,147.66876
