"","individualID","projectID","scientificName","scientificAbbreviation","dayCollected","monthCollected","yearCollected","locality","decimalLatitudeOriginal","decimalLongitudeOriginal","decimalLatitude","decimalLongitude","georeferenceProtocol","coordinateUncertaintyInMeters","depthOfColonyinMetersOriginal","depthOfColonyinMetersCorrected","EcoPlotID_full"
"1","1","ECO03","Acropora hyacinthus","Ahya","11",5,2021,"Lady_Musgrave","-23.884903","152.413621","-23.884903","152.413621","GPS EcoRRAP sites",60,"1-5",4.5,"CBLM_FL1S"
"2","2","ECO03","Acropora hyacinthus","Ahya","11",5,2021,"Lady_Musgrave","-23.884903","152.413621","-23.884903","152.413621","GPS EcoRRAP sites",60,"1-5",4.5,"CBLM_FL1S"
"3","3","ECO03","Acropora hyacinthus","Ahya","11",5,2021,"Lady_Musgrave","-23.884903","152.413621","-23.884903","152.413621","GPS EcoRRAP sites",60,"1-5",4.5,"CBLM_FL1S"
"4","4","ECO03","Acropora hyacinthus","Ahya","11",5,2021,"Lady_Musgrave","-23.884903","152.413621","-23.884903","152.413621","GPS EcoRRAP sites",60,"1-5",4.5,"CBLM_FL1S"
"5","5","ECO03","Stylophora pistillata","Spis","13",5,2021,"Lady_Musgrave","-23.896238","152.413635","-23.896238","152.413635","GPS EcoRRAP sites",60,"1",4.1,"CBLM_LA1S"
"6","6","ECO03","Stylophora pistillata","Spis","13",5,2021,"Lady_Musgrave","-23.896238","152.413635","-23.896238","152.413635","GPS EcoRRAP sites",60,"1",4.1,"CBLM_LA1S"
"7","7","ECO03","Stylophora pistillata","Spis","11",5,2021,"Lady_Musgrave","-23.884903","152.413621","-23.884903","152.413621","GPS EcoRRAP sites",60,"1-5",4.5,"CBLM_FL1S"
"8","8","ECO03","Stylophora pistillata","Spis","11",5,2021,"Lady_Musgrave","-23.884903","152.413621","-23.884903","152.413621","GPS EcoRRAP sites",60,"1-5",4.5,"CBLM_FL1S"
"9","9","ECO03","Stylophora pistillata","Spis","11",5,2021,"Lady_Musgrave","-23.884903","152.413621","-23.884903","152.413621","GPS EcoRRAP sites",60,"1-5",4.5,"CBLM_FL1S"
"10","10","ECO03","Stylophora pistillata","Spis","11",5,2021,"Lady_Musgrave","-23.884903","152.413621","-23.884903","152.413621","GPS EcoRRAP sites",60,"1-5",4.5,"CBLM_FL1S"
"11","11","ECO03","Stylophora pistillata","Spis","11",5,2021,"Lady_Musgrave","-23.884903","152.413621","-23.884903","152.413621","GPS EcoRRAP sites",60,"1-5",4.5,"CBLM_FL1S"
"12","12","ECO03","Stylophora pistillata","Spis","11",5,2021,"Lady_Musgrave","-23.884903","152.413621","-23.884903","152.413621","GPS EcoRRAP sites",60,"1-5",4.5,"CBLM_FL1S"
"13","13","ECO03","Stylophora pistillata","Spis","12",5,2021,"Lady_Musgrave","-23.917571","152.391971","-23.917571","152.391971","GPS EcoRRAP sites",60,"1-5",5.1,"CBLM_FL2S"
"14","14","ECO03","Stylophora pistillata","Spis","12",5,2021,"Lady_Musgrave","-23.917571","152.391971","-23.917571","152.391971","GPS EcoRRAP sites",60,"1-5",5.1,"CBLM_FL2S"
"15","15","ECO03","Stylophora pistillata","Spis","12",5,2021,"Lady_Musgrave","-23.917571","152.391971","-23.917571","152.391971","GPS EcoRRAP sites",60,"1-5",5.1,"CBLM_FL2S"
"16","16","ECO03","Stylophora pistillata","Spis","12",5,2021,"Lady_Musgrave","-23.917571","152.391971","-23.917571","152.391971","GPS EcoRRAP sites",60,"1-5",5.1,"CBLM_FL2S"
"17","17","ECO03","Stylophora pistillata","Spis","12",5,2021,"Lady_Musgrave","-23.917571","152.391971","-23.917571","152.391971","GPS EcoRRAP sites",60,"1-5",5.1,"CBLM_FL2S"
"18","18","ECO03","Stylophora pistillata","Spis","12",5,2021,"Lady_Musgrave","-23.917571","152.391971","-23.917571","152.391971","GPS EcoRRAP sites",60,"1-5",5.1,"CBLM_FL2S"
"19","19","ECO03","Acropora hyacinthus","Ahya","12",5,2021,"Lady_Musgrave","-23.917571","152.391971","-23.917571","152.391971","GPS EcoRRAP sites",60,"1-5",5.1,"CBLM_FL2S"
"20","20","ECO03","Stylophora pistillata","Spis","12",5,2021,"Lady_Musgrave","-23.917571","152.391971","-23.917571","152.391971","GPS EcoRRAP sites",60,"1-5",5.1,"CBLM_FL2S"
"21","21","ECO03","Stylophora pistillata","Spis","12",5,2021,"Lady_Musgrave","-23.917571","152.391971","-23.917571","152.391971","GPS EcoRRAP sites",60,"1-5",5.1,"CBLM_FL2S"
"22","22","ECO03","Acropora hyacinthus","Ahya","12",5,2021,"Lady_Musgrave","-23.917571","152.391971","-23.917571","152.391971","GPS EcoRRAP sites",60,"1-5",5.1,"CBLM_FL2S"
