projectID,scientificAbbreviation,locality,decimalLatitude,decimalLongitude,depthOfColonyinMetersCorrected,EcoPlotID_full
ECO03,Pver,Davies,-18.83191,147.65257,11.1,OCDA_FR2D
ECO03,Pmas,Pelorus,-18.55071515,146.4881948,11.1,PAPE_BA1D_P3
ECO03,Pmas,Pelorus,-18.55060351,146.488198,11.1,PAPE_BA1D_P4
ECO03,Spis,Heron,-23.4708128,151.9507523,11.2,CBHE_FR2D_P1
ECO03,Pver,Heron,-23.428095,151.952179,11.3,CBHE_BA1D_P3
ECO03,Pmas,Davies,-18.83173759,147.6527397,11.3,OCDA_FR2D_P3
ECO03,Pmas,Davies,-18.8143,147.637125,11.3,OCDA_BA2D_P2
ECO03,Pmas,Davies,-18.82586,147.627375,11.3,OCDA_BA1D_P2
ECO03,Spis,Davies,-18.82579,147.62735,11.4,OCDA_BA1D
ECO03,Pdam,Heron,-23.472103,151.977764,11.4,CBHE_FR1D_P1
ECO03,Pdam,Heron,-23.4720925,151.978211,11.4,CBHE_FR1D_P4
ECO03,Pmas,Davies,-18.814315,147.6369,11.5,OCDA_BA2D_P3
ECO03,Pmas,Davies,-18.805595,147.66861,11.5,OCDA_FL1D_P4
ECO03,Pmas,Davies,-18.825645,147.62737,11.5,OCDA_BA1D_P4
ECO03,Pver,Heron,-23.472098,151.977937,11.6,CBHE_FR1D
ECO03,Pdam,Heron,-23.47086716,151.9512024,11.6,CBHE_FR2D_P3
ECO03,Shys,Heron,-23.4720845,151.977962,11.6,CBHE_FR1D_P2
ECO03,Spis,Heron,-23.4281955,151.95204,11.7,CBHE_BA1D_P4
ECO03,Acyt,Heron,-23.4280535,151.952309,11.7,CBHE_BA1D_P2
ECO03,Spis,Heron,-23.4280415,151.9524235,11.7,CBHE_BA1D_P1
ECO03,Pmas,Davies,-18.83197972,147.6525535,11.7,OCDA_FR2D_P1
ECO03,Pspe,Davies,-18.81434,147.63719,11.7,OCDA_BA2D_P1
ECO03,Pmas,Davies,-18.82578,147.627365,11.7,OCDA_BA1D_P3
ECO03,Spis,Heron,-23.47084618,151.9509202,11.8,CBHE_FR2D_P2
ECO03,Shys,Davies,-18.805915,147.668855,11.9,OCDA_FL1D_P1
ECO03,Pver,Davies,-18.80592,147.6688,12,OCDA_FL1D
ECO03,Shys,Davies,-18.80582,147.668845,12.2,OCDA_FL1D_P2
ECO03,Pmas,Davies,-18.805735,147.66876,12.4,OCDA_FL1D_P3
