projectID,scientificAbbreviation,locality,decimalLatitude,decimalLongitude,depthOfColonyinMetersCorrected,EcoPlotID_full
ECO03,Shys,Lady_Musgrave,-23.90031025,152.3934798,3.85,CBLM_BA1S_P23
ECO03,Spis,Moore_Reef,-16.859841,146.2256785,3.9,ONMO_LA1S
ECO03,Pver,Lizard_Island,-14.649287,145.4927845,3.9,ONLI_FR2S_P4
ECO03,Shys,Masig,-9.749119759,143.3996124,3.9,TSMA_BA1S_P4
ECO03,Pmea,Lady_Musgrave,-23.8943045,152.4043745,3.9,CBLM_BA2S_P1
ECO03,Peyd,Heron,-23.4340385,151.920667,3.9,CBHE_BA2S_P4
ECO03,Shys,Moore_Reef,-16.8598625,146.2258965,3.9,ONMO_LA1S_P3
ECO03,Pmas,Little_Broadhurst,-18.943966,147.699309,3.9,OCLB_FL1S_P2
ECO03,Pmas,Little_Broadhurst,-18.9492785,147.693012,3.9,OCLB_BA1S_P2
ECO03,Pmas,Moore_Reef,-16.8486695,146.237388,3.9,ONMO_FL1S_P1
ECO03,Pmas,Lizard_Island,-14.697944,145.4452925,3.9,ONLI_FL1S_P1
ECO03,Shys,Lizard_Island,-14.698135,145.445475,3.9,ONLI_FL1S_P3
ECT1,Aspat,Davies,-18.825865,147.626609,3.9,Aspat_1551
ECT1,Aken,Tydeman,-13.97109333,144.5101069,3.9,Aken_11_Tydeman
ECT1,Aken,Tydeman,-13.97111789,144.5101178,3.9,Aken_13_Tydeman
ECT1,Aken,Martin,-14.78023273,145.3596126,3.9,Aken_1266
ECT1,Aken,No_Name,-14.6514442,145.6390163,3.9,Aken_1326
ECT1,Aken,Pelorus,-18.55918997,146.5023602,3.9,Aken_1925
ECT1,Aken,Pelorus,-18.55923951,146.5022608,3.9,Aken_1947
ECT1,Aken,Pelorus,-18.55936046,146.5022084,3.9,Aken_1954
ECO03,Spis,Heron,-23.4284495,151.952358,4,CBHE_BA1S_P3
ECO03,Spis,Lizard_Island,-14.6980975,145.445447,4,ONLI_FL1S
ECO03,Pmea,Lady_Musgrave,-23.9004655,152.393308,4,CBLM_BA1S_P4
ECO03,Pver,Lady_Musgrave,-23.88506,152.4135875,4,CBLM_FL1S_P2
ECO03,Pmas,Davies,-18.81441,147.63697,4,OCDA_BA2S_P3
ECO03,Pmas,Pelorus,-18.539612,146.499036,4,PAPE_FR1S_P3
ECO03,,Heron,-23.433982,151.920934,4,CBHE_BA2S
ECT1,Aspat,Hicks,-14.475055,145.502585,4,Aspat_429
ECT1,Aspat,Lady_Musgrave,-23.90743973,152.3867061,4,Aspat_1596
ECT1,Aspat,Lady_Musgrave,-23.90743109,152.386691,4,Aspat_1597
ECT1,Aken,Moore,-16.84599652,146.2321624,4,Aken_1064
ECT1,Aken,Moore,-16.84597112,146.2317756,4,Aken_1079
ECT1,Aken,Tydeman,-13.97107875,144.509965,4,Aken_8_Tydeman
ECT1,Aken,Martin,-14.78017515,145.3596584,4,Aken_1264
ECT1,Aken,Martin,-14.78043096,145.3594595,4,Aken_1277
ECT1,Aken,No_Name,-14.65119098,145.6382735,4,Aken_1331
ECT1,Aken,Lizard,-14.64581391,145.4555579,4,Aken_43_Lizard
ECT1,Aken,Pelorus,-18.55919617,146.5022861,4,Aken_1827
ECT1,Aken,Pelorus,-18.55923406,146.502259,4,Aken_1828
ECT1,Aken,Pelorus,-18.55943514,146.5022958,4,Aken_1935
ECT1,Aken,Pelorus,-18.55966162,146.5021779,4,Aken_1942
ECT1,Aken,Pelorus,-18.55921285,146.5021914,4,Aken_1950
ECT1,Aken,Pelorus,-18.55930715,146.5022261,4,Aken_1953
ECT1,Aken,Pelorus,-18.55936037,146.50221,4,Aken_1955
ECT1,Aken,Chicken,-18.66983403,147.7066355,4,Aken_1877
ECT1,Aken,Chicken,-18.66993017,147.7067698,4,Aken_1879
ECT1,Aken,Chicken,-18.66979874,147.7068846,4,Aken_1885
ECT1,Aken,Chicken,-18.67034809,147.7067818,4,Aken_1971
ECT1,Aken,Davies,-18.82662498,147.6266273,4,Aken_2022
ECO03,Spis,Lady_Musgrave,-23.896238,152.413635,4.1,CBLM_LA1S
ECO03,Ahya,Lady_Musgrave,-23.900155,152.393624,4.1,CBLM_BA1S
ECO03,Pver,Moore_Reef,-16.8472105,146.217424,4.1,ONMO_BA1S
ECO03,Pver,Lizard_Island,-14.69179039,145.4691158,4.1,ONLI_FR1S_P1
ECO03,Pdam,Aukane,-9.88359,143.407125,4.1,TSAU_FR2S_P3
ECO03,Prug,Masig,-9.748669624,143.4000397,4.1,TSMA_BA1S_P1
ECO03,Shys,Heron,-23.433933,151.9212005,4.1,CBHE_BA2S_P1
ECO03,Pmas,Moore_Reef,-16.8722915,146.253598,4.1,ONMO_FR1S_P1
ECO03,Shys,Moore_Reef,-16.8597595,146.225918,4.1,ONMO_LA1S_P4
ECO03,Pmas,Chicken,-18.66053299,147.7024005,4.1,OCCH_BA2S_P4
ECO03,Pmas,Moore_Reef,-16.848538,146.237323,4.1,ONMO_FL1S_P2
ECO03,Pmas,Lizard_Island,-14.6879075,145.465401,4.1,ONLI_LA1S_P4
ECT1,Aspat,Hicks,-14.47508,145.50259,4.1,Aspat_430
ECT1,Aspat,Lady_Musgrave,-23.90741182,152.3866715,4.1,Aspat_1598
ECT1,Aspat,Lady_Musgrave,-23.88372414,152.4158023,4.1,Aspat_1612
ECT1,Aken,Moore,-16.84599945,146.2317839,4.1,Aken_1080
ECT1,Aken,Tydeman,-13.97109442,144.5100171,4.1,Aken_9_Tydeman
ECT1,Aken,Martin,-14.78019325,145.3596426,4.1,Aken_1265
ECT1,Aken,No_Name,-14.65150153,145.6390363,4.1,Aken_1360
ECT1,Aken,Lizard,-14.64599378,145.4557475,4.1,Aken_19_Lizard
ECT1,Aken,Hicks,-14.47482174,145.5029726,4.1,Aken_1373
ECT1,Aken,Myrmidon,-18.27786673,147.3787855,4.1,Aken_10
