Site,Latitude,Longitude,mmm_eta_99999.9m,mmm_salt_24m,mmm_salt_18m,mmm_salt_13m,mmm_salt_9m,mmm_salt_5.35m,mmm_salt_2.35m,mmm_salt_0.5m,mmm_temp_24m,mmm_temp_18m,mmm_temp_13m,mmm_temp_9m,mmm_temp_5.35m,mmm_temp_2.35m,mmm_temp_0.5m,mmm_u_24m,mmm_u_18m,mmm_u_13m,mmm_u_9m,mmm_u_5.35m,mmm_u_2.35m,mmm_u_0.5m,mmm_v_24m,mmm_v_18m,mmm_v_13m,mmm_v_9m,mmm_v_5.35m,mmm_v_2.35m,mmm_v_0.5m,mmm_wspeed_u_99999.9m,mmm_wspeed_v_99999.9m,mean_annual_eta_99999.9m,mean_annual_salt_24m,mean_annual_salt_18m,mean_annual_salt_13m,mean_annual_salt_9m,mean_annual_salt_5.35m,mean_annual_salt_2.35m,mean_annual_salt_0.5m,mean_annual_temp_24m,mean_annual_temp_18m,mean_annual_temp_13m,mean_annual_temp_9m,mean_annual_temp_5.35m,mean_annual_temp_2.35m,mean_annual_temp_0.5m,mean_annual_u_24m,mean_annual_u_18m,mean_annual_u_13m,mean_annual_u_9m,mean_annual_u_5.35m,mean_annual_u_2.35m,mean_annual_u_0.5m,mean_annual_v_24m,mean_annual_v_18m,mean_annual_v_13m,mean_annual_v_9m,mean_annual_v_5.35m,mean_annual_v_2.35m,mean_annual_v_0.5m,mean_annual_wspeed_u_99999.9m,mean_annual_wspeed_v_99999.9m,monthly_variability_eta_99999.9m,monthly_variability_salt_24m,monthly_variability_salt_18m,monthly_variability_salt_13m,monthly_variability_salt_9m,monthly_variability_salt_5.35m,monthly_variability_salt_2.35m,monthly_variability_salt_0.5m,monthly_variability_temp_24m,monthly_variability_temp_18m,monthly_variability_temp_13m,monthly_variability_temp_9m,monthly_variability_temp_5.35m,monthly_variability_temp_2.35m,monthly_variability_temp_0.5m,monthly_variability_u_24m,monthly_variability_u_18m,monthly_variability_u_13m,monthly_variability_u_9m,monthly_variability_u_5.35m,monthly_variability_u_2.35m,monthly_variability_u_0.5m,monthly_variability_v_24m,monthly_variability_v_18m,monthly_variability_v_13m,monthly_variability_v_9m,monthly_variability_v_5.35m,monthly_variability_v_2.35m,monthly_variability_v_0.5m,monthly_variability_wspeed_u_99999.9m,monthly_variability_wspeed_v_99999.9m
CBHE_BA1D,-23.428043,151.952453,-0.015397783798988571,35.629529408373564,35.629813951603644,35.629491451709576,35.629997310778286,35.62983292616389,35.62946220830833,35.629127530969456,27.305838105910876,27.31126316969244,27.31063221621023,27.325603120837524,27.324509509106644,27.32395569859399,27.32191142454021,0.0211459953270581,0.018649746890922168,0.01768535853881347,0.019690995870915495,0.020155846932511202,0.019603556635897072,0.017482782109760744,0.0035304913333333333,0.0019507607251054854,0.0022797048959504428,0.005262753555555556,0.008511111782133408,0.012689073348097787,0.016660930848105226,-2.259595180333333,4.342600731963732,-0.11110803741811286,35.58130334714089,35.582246455484885,35.58223006398071,35.58368250730586,35.58364372358518,35.58348874303241,35.58271095807159,25.00273569025454,25.005095055559988,25.004839927255514,25.01280000604272,25.01183719780978,25.011218311114252,25.00913995554383,0.017249157645241094,0.013111674798191034,0.012146557925249752,0.013266781504895195,0.012847373280719363,0.011628925994750518,0.0091711448910212455,0.0029138065062805853,8.901019914641648e-4,9.473964774044859e-4,-4.864326099413493e-4,3.692207525740557e-4,0.002151360445134828,0.004096385991379975,-3.6338317885530302,1.7998494077429101,-0.45089071920796603,0.0022099153157323264,0.0022089138391649466,0.0022083114798353057,0.0022053198928213055,0.002205147075553475,0.002204789513177293,0.002203525758894578,0.08345581171327987,0.08366910455366651,0.08367642113981032,0.08401092751534513,0.08401679816687666,0.08402079360546766,0.08402323710646795,0.4731877949507596,1.2522023462561982,1.463729746002051,1.4438196855059482,1.7930754287792747,2.386018654957426,4.991487545936797,0.15726213074952639,3.906559711451032,3.7519499911177183,-435.0338369518978,4.364026941160483,1.8624460907358864,1.3873510647460694,-0.26895318279962876,0.8381949533265454
CBHE_BA1S,-23.4284405,151.952418,-0.015447197674891739,35.62949759834434,35.629824010041204,35.62950536467147,35.63006316888512,35.62990431984252,35.629549210638245,35.629219738887414,27.305494386015422,27.31159886632418,27.310937389065607,27.327003834565634,27.32583989394388,27.325277194830043,27.323213496008695,0.021375236684673164,0.01852560580718445,0.017573435158253485,0.019548643294100686,0.02006448705307892,0.019507396140539614,0.017398750769979314,0.003577629222222222,0.0019099118662310734,0.002273746087076594,0.0052965477777777775,0.008770976834325253,0.013161955272536403,0.017151853908091045,-2.259384001,4.342694559081041,-0.11115465058389414,35.5812646363767,35.58228150081687,35.582266147140714,35.583825421839634,35.5837886928317,35.58363557518015,35.58286381779329,25.002576428812255,25.005298541684493,25.005023976965873,25.013559686298937,25.01253510888618,25.01190841876611,25.00981853407717,0.01744662719038073,0.01301794557448831,0.01206573385790071,0.013184775197155814,0.0127620922749919,0.011511120001872998,0.009063766603053948,0.0029854892469950056,8.089114731411362e-4,8.94113196320262e-4,-3.9617315021775435e-4,5.130374293124935e-4,0.002371927176001023,0.004325905970150385,-3.6337406471590907,1.7999371027526816,-0.4506783278096211,0.002209940849483576,0.0022088878050446556,0.002208297427334767,0.002205103335065654,0.0022049321494583226,0.0022046009522689335,0.0022033524792539473,0.08344541220343746,0.08367550682867302,0.08368292701744623,0.08404156944816808,0.08404782853212314,0.08405205402918217,0.08405468502948286,0.4719444767984452,1.2575537460412007,1.469335781287809,1.4326747014505392,1.8031390286576667,2.432978241195065,5.183460733551108,0.14746768632581117,5.014224155387409,4.102511768124251,48.16666248326047,3.872587484299451,1.7640280701343973,1.344700778526025,-0.26897435932430547,0.8382122874216852
CBHE_BA2D,-23.434075,151.920269,-0.01475247157445494,35.636976321538285,35.63866018790104,35.6387958980041,35.63881341406069,35.63868519030298,35.63613507127304,35.63535210618781,27.346806256641894,27.35838307388598,27.365169566232804,27.366339849587703,27.364063791497923,27.36257328875859,27.358486511993032,0.003049302210843749,0.007924215129464719,0.0012794461999999997,-0.004052037421030336,-0.004203028162409021,-0.005103265151240397,-0.00847909195140654,0.0017818372585306364,0.008088710178843552,0.02155051345934032,0.037719015374706275,0.04307968878219133,0.04510281065127004,0.05104820796420529,-2.248910298333333,4.352574300722628,-0.11107658244068254,35.5836309474625,35.58482351137578,35.585895392489554,35.58620300915302,35.58613649949912,35.58563708226623,35.583260133499245,25.020686672155712,25.026012616102978,25.02907587980709,25.028574537722516,25.026584307414886,25.02485962128009,25.02041653758201,-1.7689738175460302e-4,0.002065480941388223,-0.003941448616149924,-0.00999073503945929,-0.011275886085834314,-0.012636616153490437,-0.01676395494539269,5.492381972644968e-4,0.006124499243189015,0.013682623495967236,0.02382686642863548,0.02632639161451687,0.027714254105716443,0.030795298493944464,-3.638151482719697,1.8038125553824234,-0.4534691119541204,0.002211508521551543,0.0022082803613846947,0.002204068899722692,0.0022025391130053753,0.0022025648126576813,0.0021949158898239805,0.0021896945169522894,0.08428616347410336,0.08461188529879007,0.0847969569011793,0.08488266524053578,0.08488707938669607,0.08488616742160648,0.08489129711371282,-1.4985091589361563,-2.567043535527387,-0.976161982084386,-0.6656611224886873,-0.6649741162967343,-0.6296777746695751,-0.5446035117108995,1.5496043211491062,0.38992691102169097,0.3064090910612059,0.30657807603052845,0.3289230479684023,0.322131639770368,0.34660478410836443,-0.2704161340507261,0.844390116147784
CBHE_BA2S,-23.433982,151.920934,-0.014696208011251575,35.63695012063349,35.637821494295515,35.63816321730575,35.63829213526752,35.638106668256135,35.63520424219909,35.63432778998439,27.33854634166175,27.347120030724113,27.3581421149758,27.36076076457839,27.358565398938453,27.35711373262987,27.353089510995606,0.007251609834691174,0.009855597980994482,0.003683562487071426,-0.0018632182138077018,-0.0022505563998380896,-0.0030746330342316546,-0.0064837506340702554,0.0038892341111111113,0.006774730464013982,0.016422864345589008,0.032567065940205836,0.03807818338804388,0.040059293633048214,0.04592984170019758,-2.250473994777778,4.351560306265744,-0.11099264002349442,35.58251087477356,35.58359202720233,35.58506459439126,35.58552702854289,35.58545409037005,35.584931517953414,35.58244085001466,25.01789831113476,25.020898197052205,25.025977487232733,25.026167236010266,25.02424800302444,25.0225392425689,25.018090004442723,0.002699522580071383,0.003600335983249777,-0.0016402765454780843,-0.00765018440479819,-0.00902529612294106,-0.01032590027459353,-0.014496530726634515,0.0021311558643744045,0.00479861385489832,0.00988680141748611,0.020124202188254985,0.02275993703533758,0.02410510846037134,0.02714476508407273,-3.638393538151515,1.8031434477839337,-0.4537787136874531,0.0022142001960880797,0.00221188627258799,0.002206559302945231,0.002204597747241076,0.0022044757264953413,0.0021957426613362988,0.002189864912209241,0.08406826103012585,0.08434366326397963,0.08461941320225036,0.08473828952543422,0.08474268182934568,0.08474115600511767,0.08474577969879142,-4.672734326524174,-4.229367202287979,-1.2699923116524805,-0.758562268482149,-0.744724361097145,-0.7012696788187426,-0.5898293168378648,0.5222356012038263,0.5106141488106202,0.35639736689519613,0.3252810672740192,0.3502540907888869,0.3417727077826484,0.36736798636153994,-0.27024005231864306,0.8440195967897554
CBHE_FL1S,-23.4561755,151.925688,-0.006436105997398314,35.65246208616048,35.64817099703143,35.64495543198217,35.64398231743883,35.64363404227035,35.6423564904803,35.64169674631596,27.449057201707564,27.431615377081467,27.42444373579221,27.416766446937032,27.41525845688918,27.41542599898645,27.40952645238957,-0.0033520053333333335,-0.004724146082643594,-0.008290549555555556,-0.015071305620139176,-0.012357538152901786,-0.014135692555555555,-0.019649122,0.018590230598740844,0.0333229613351359,0.04959072936844472,0.0696829406266393,0.0710956329249471,0.07444757584832275,0.08440350013432506,-2.229451449888889,4.362199048751157,-0.10513291638279552,35.59846256132087,35.59644064631126,35.595058021679236,35.59449795952062,35.594159930373024,35.59305526195753,35.586609510409836,25.092763620829277,25.080315799531146,25.073978268723796,25.066942696148743,25.06543130541373,25.064810638071307,25.057329402743935,-0.005048515944272326,-0.008544257361695397,-0.013879674886451582,-0.022964009820298396,-0.0208834570683124,-0.023469239820748816,-0.03084816905981981,0.009937796279045707,0.018482302261183872,0.027350696189925187,0.03827869999838205,0.039934439421309344,0.04281583917307834,0.048211169967582485,-3.6288335797727274,1.812616733062971,-0.48953130452620897,0.0022189810882739186,0.002202160948144013,0.0021926352857886576,0.002191208533364849,0.002192244979632244,0.0021905450050917715,0.0021770975806176605,0.08626983252975487,0.08607897728997084,0.08592175161253898,0.08588598524792432,0.0858857564673199,0.08589058691674499,0.08589111099300842,-0.3721158238018563,-0.4736853764341074,-0.4453895198570953,-0.39256964367291275,-0.45284337350387266,-0.42971109325322693,-0.39562643308522594,0.3721162775362585,0.36004417562152835,0.3621184335739773,0.3685135528639802,0.3577997542168631,0.3420503300480359,0.36349657549544073,-0.27232051187264045,0.8453092418309321
CBHE_FR1D,-23.472098,151.977937,-0.007646296452669555,35.64673825896602,35.64064149648731,35.638989306333066,35.63868995575277,35.6371162733018,35.63633204375666,35.636107503091715,27.36192136667019,27.374849591342258,27.36932452925148,27.367944010690202,27.37496121679026,27.372793296775185,27.36528685877909,0.006304079019767634,0.007073395348294023,0.01796239619639784,0.022919716846856213,0.02597215654166985,0.026927426803340912,0.01969701636673593,0.004372444444444444,0.005875872,0.01056859285418011,0.012981894609399618,0.020653681700585295,0.02551310273780621,0.03740556690381465,-2.2222110067777776,4.356239123015377,-0.10673549951931587,35.59339922360364,35.59411273913347,35.593674013857495,35.59348609956482,35.5933032133972,35.59200037728889,35.58600938712713,25.031385705534433,25.049637162132957,25.047204967446866,25.046880789614875,25.051065531750055,25.04820966723068,25.03922858937433,0.003342260438579673,0.004211647469566317,0.012690332962599965,0.016050852726373056,0.01682518056761322,0.015531912364827701,0.006196897062003901,0.0021467919743268123,0.00337830888230371,0.007266359967977169,0.008481184083355596,0.010826838078040154,0.012853343407730512,0.019388396154780056,-3.6133981834545454,1.8147285645964268,-0.48529795878936566,0.0022553115908887492,0.0022426470372090535,0.0022382430518748625,0.0022361532639851,0.002234347050992138,0.002224274702658092,0.0022102923619379696,0.08447075503196401,0.08468189431666184,0.08462582029443556,0.0846302658816589,0.08471487313376844,0.08471766308013183,0.08471896609713436,1.4572898858336707,1.361738316272063,0.731426314709477,0.6977517440831874,0.7890661517463989,0.9812224591668115,5.478861854569712,0.8346623645715567,0.5193206767573588,0.37072929576135943,0.3739852093208391,0.5031977473982674,0.5538951277060539,0.5718232805904159,-0.2726039582441646,0.8387187487459364
CBHE_FR1S,-23.471972,151.9777105,-0.0076079392390741235,35.64675586381279,35.64063910636705,35.63908598811264,35.63879414531995,35.63719168538459,35.6363594673764,35.636135951089884,27.362489832421,27.37542763524879,27.369869021877502,27.368520427419924,27.375063747983205,27.372944349453462,27.365472570038072,0.006258284367743041,0.0068376606222037535,0.017916036417009996,0.022882062916553602,0.025971631312570187,0.026888291531228247,0.019669106426563616,0.004343509666666667,0.0057592277777777775,0.010478320846587397,0.01287547644935303,0.020679899100473947,0.025357471804716498,0.03725487457804059,-2.222160553777778,4.356275636427237,-0.1067070495516097,35.593443730421654,35.59413609933984,35.59371753524943,35.593528460012074,35.5933258822864,35.592014340359064,35.58599947584627,25.031861128900236,25.050044203189156,25.047521275952604,25.047232366060346,25.051135283237095,25.048317745819823,25.039349219279597,0.003303573139848745,0.0040390586048208894,0.012654932174372408,0.01602858877768142,0.016783448950020777,0.015483748771576015,0.006158562413629326,0.002128721308420887,0.003316702270976899,0.007244684334473408,0.008473458101750413,0.010827409616322935,0.012787052690898089,0.019334553539029114,-3.6133924301439393,1.8147541510102339,-0.485471678630617,0.0022553190851082486,0.002242736295472759,0.002238449573606093,0.0022363579075915596,0.002234544196541569,0.0022244163633591664,0.002210352382896074,0.08448176381855885,0.08468848072299727,0.08463667427152567,0.08464071149813873,0.08471928545695233,0.08472173788987271,0.0847228798968122,1.4703467003600925,1.3866580098175394,0.728756250134578,0.6953638517995359,0.7955162037210931,0.9855722034017171,5.557298001251803,0.8348508261777562,0.5142237017292777,0.36759151114900623,0.37093615863011664,0.5038999267280327,0.552022738279856,0.5702075518902386,-0.27260950405319284,0.8387346048934808
CBHE_FR2D,-23.4708255,151.9510635,-0.004025903301431583,35.652851071069804,35.648122262770855,35.64753415947642,35.646672604845065,35.64444207034272,35.64133582213551,35.640505537188105,27.4238692973471,27.42095060324754,27.416054181105437,27.41538176042123,27.419000973876134,27.417001831144322,27.410625520606498,0.0074477363524876935,0.008792292999797759,0.009875234428358226,0.01275860365715215,0.01449313478931875,0.013537859673516872,0.0076957690390334855,0.010108362674390824,0.012137935217463487,0.012326664751149748,0.013057204541827835,0.02060648437400235,0.028494588153228466,0.03964467726760068,-2.2180990938888887,4.363472886993516,-0.10349810143262032,35.59926074164135,35.59814481375416,35.59781263590217,35.5974529238521,35.59673545775093,35.59538460879723,35.590869128134564,25.072528937939666,25.076776735033906,25.074873200475864,25.07506764302745,25.076671520698497,25.074023416208284,25.066966662118507,0.0037896348734974624,0.004664223059118891,0.0056183666281294726,0.007579371034158427,0.0077676296088767995,0.0049042302743114805,-0.0031706822994796305,0.005407259727730269,0.006087046653050443,0.006035581014601367,0.006923850891101031,0.010835513524638296,0.01475760654092926,0.020340724709797236,-3.6179444425681817,1.81729149696296,-0.5011339995738355,0.0022516707969663188,0.0022254454291050045,0.002218875991563612,0.0022170990701716954,0.0022143765963881096,0.0022060254099679154,0.0021960302585360596,0.08594867745961435,0.08588114943060894,0.08587180660800145,0.08586573022846926,0.08585720535037983,0.08585516860653522,0.08585683437551792,2.042599623365095,2.2188992673967745,1.8273991499114532,1.37789126397993,1.691593288198876,4.214023902464997,-1.8930948364831273,0.40465729751105123,0.44729891510754444,0.48136302210128024,0.4325777976243524,0.4526554154344502,0.4540695191557041,0.49764991440136663,-0.27320985896151384,0.8428943761185645
CBHE_FR2S,-23.470371,151.950669,-0.003994587851223309,35.65285737925845,35.64811437497233,35.64753452141095,35.646678513479074,35.64443665057887,35.64142292553113,35.6406020699425,27.423924035249257,27.421266911409003,27.4162932139134,27.415653584293985,27.419453843598824,27.417408343135552,27.41097254226994,0.007465964443843912,0.008669241346806616,0.009729953244096859,0.012481320478052628,0.014295749198391754,0.013324356234558288,0.007460778383872336,0.01024248267548468,0.012156879466529578,0.012342548426628852,0.013023815057504651,0.02076247868950651,0.028962126101245222,0.04017425476292171,-2.218286890222222,4.3634120370285006,-0.10347031138379553,35.59926907235671,35.59814912414639,35.59782211507918,35.597461065080765,35.59673194159335,35.59539457457137,35.590878293448355,25.072561241155444,25.076980769103354,25.074972643569122,25.07518086134096,25.07686836944828,25.074187560917046,25.067077503048314,0.0037891739183870845,0.004569152787417381,0.005501507822173744,0.007365127933469042,0.007625146556718243,0.004718000532544601,-0.003394758068971286,0.005485275249594666,0.006097319125387098,0.0060419421493910315,0.006882847365635149,0.010951583067184167,0.015022340730133095,0.020633025879255893,-3.618061463848485,1.817215206221439,-0.5012868332006827,0.002251673720299786,0.002224949102225463,0.0022185180810623327,0.002216815581917794,0.0022142454983994733,0.0022061865555769032,0.0021962140812940654,0.08595057752887521,0.08588639627635923,0.08587754495810537,0.08587135498848424,0.08586114258202059,0.08585968496930568,0.08586166484237245,2.069914829184462,2.291941244026398,1.8771711133862414,1.415365995145179,1.7288949643701657,4.62145092333383,-1.8219942712196886,0.4030960285305184,0.4470464002694998,0.481118268137179,0.4359329651773561,0.4499006299710126,0.45235840605880284,0.4959756053405201,-0.2731923261382042,0.8428978552930326
CBHE_LA1S,-23.454021,151.968494,-0.01334788030538401,NA,NA,NA,NA,35.63837103366767,35.63864972281042,35.63850200088764,NA,NA,NA,NA,27.426974044146988,27.422160270403136,27.409528404406036,NA,NA,NA,NA,0.011744038503035223,0.018684001692527003,0.011836605894774088,NA,NA,NA,NA,0.01610067328160838,0.04635389542374226,0.06110968537282093,-2.2369479770000003,4.350942480863099,-0.11070548849865962,NA,NA,NA,NA,35.59434937267273,35.59409576402422,35.59016100920299,NA,NA,NA,NA,25.082579953354497,25.074860455968007,25.062382191672658,NA,NA,NA,NA,0.007291713044862907,0.008515569940200755,-0.0016754060207126449,NA,NA,NA,NA,0.007528096031673653,0.020279124870112235,0.026914513702678312,-3.6211041782348485,1.8090763643343755,-0.45903998074436075,NA,NA,NA,NA,0.0022179368048553675,0.002213270975994883,0.0022061094427771786,NA,NA,NA,NA,0.08547315294327565,0.08564406889665507,0.08567060638719565,NA,NA,NA,NA,0.9756144785786433,2.5375841673156394,-2.4819439326442883,NA,NA,NA,NA,0.6381145597372606,0.6744747184857196,0.6784344325737911,-0.2711256486254948,0.8383155579240472
