name,lat,lon
CBHE_BA1D,-23.428043,151.952453
CBHE_BA1S,-23.4284405,151.952418
CBHE_BA2D,-23.434075,151.920269
CBHE_BA2S,-23.433982,151.920934
CBHE_FL1S,-23.4561755,151.925688
CBHE_FR1D,-23.472098,151.977937
CBHE_FR1S,-23.471972,151.9777105
CBHE_FR2D,-23.4708255,151.9510635
CBHE_FR2S,-23.470371,151.950669
CBHE_LA1S,-23.454021,151.968494
CBLM_BA1S,-23.900155,152.393624
CBLM_BA2S,-23.894298,152.404406
CBLM_FL1S,-23.884903,152.413621
CBLM_FL2S,-23.917571,152.391971
CBLM_LA1S,-23.896147,152.413821
KEGK_BA1S,-23.1965435,150.9368275
KEHW_BA1S,-23.2018935,150.966579
KEML_BA1S,-23.150495,150.90294
KEMD_BA1S,-23.1619975,150.9208225
KENK_BA1S,-23.0843065,150.885571
KENK_FL1S,-23.085374,150.899147
OCCH_BA1S,-18.6532055,147.708533
OCCH_BA2S,-18.660365,147.702675
OCCH_FL1S,-18.652217,147.7184615
OCDA_BA1D,-18.82579,147.62735
OCDA_BA1S,-18.8259,147.62727
OCDA_BA2D,-18.81433,147.6372
OCDA_BA2S,-18.81448,147.6372
OCDA_FL1D,-18.80592,147.6688
OCDA_FL1S,-18.80575,147.6686
OCDA_FR1D,-18.81966,147.66394
OCDA_FR1S,-18.8192,147.66391
OCDA_FR2D,-18.83191,147.65257
OCDA_FR2S,-18.83187,147.6525
OCDA_LA1S,-18.833,147.63338
OCDA_LA2S,-18.83125,147.63316
OCLB_BA1S,-18.9493475,147.6929265
OCLB_FL1S,-18.944062,147.699285
OCLB_LA1S,-18.949382,147.701909
PAOR_FL1D,-18.5715,146.4954
PAOR_FL1S,-18.5720395,146.495178
PAPE_BA1D,-18.5505,146.4882
PAPE_BA1S,-18.5508,146.4884
PAPE_BA2D,-18.5408,146.4885
PAPE_BA2S,-18.541,146.4886
PAPE_FR1D,-18.5394,146.4995
PAPE_FR1S,-18.6026485,146.500263
TSAU_BA1S,-9.867615,143.389355
TSAU_BA2S,-9.8757,143.388545
TSAU_FL1S,-9.882025,143.39442
TSAU_FR1S,-9.87996,143.41004
TSAU_FR2D,-9.88359,143.40722
TSAU_FR2S,-9.88359,143.407125
TSDU_BA1S,-9.88136,142.92542
TSDU_BA2S,-9.878565,142.932925
TSDU_BA3S,-9.985315,142.90854
TSDU_FR1S,-9.9312,143.00543
TSDU_FR2S,-10.03707,142.926535
TSDU_LA1S,-9.934095,142.922705
TSMA_BA1D,-9.748695,143.399805
TSMA_BA1S,-9.748895,143.399825
TSMA_BA2D,-9.74409,143.41574
TSMA_BA2S,-9.7442395,143.415763
TSMA_FL1S,-9.759895,143.39796
TSMA_FR1D,-9.763955,143.417
TSMA_FR1S,-9.76224,143.421395
TSMA_FR2D,-9.74637,143.46012
TSMA_FR2S,-9.74838,143.458505
TSMA_LA1S,-9.73404,143.43519
ONMO_BA1S,-16.8472105,146.217424
ONMO_FL1S,-16.8485425,146.237223
ONMO_FR1D,-16.872083,146.2536695
ONMO_FR1S,-16.872041,146.2536145
ONMO_FR2D,-16.8830355,146.244797
ONMO_FR2S,-16.882674,146.244602
ONMO_FL1D,-16.8484505,146.2372885
ONMO_LA1S,-16.859841,146.2256785
ONMO_LA1D,-16.8599245,146.2257455
ONMO_BA1D,-16.8471725,146.2174315
ONMO_BA2D,-16.881947,146.1837795
ONMO_BA2S,-16.8820015,146.183993
ONLI_FR1S,-14.6912735,145.4693795
ONLI_FL1S,-14.6980975,145.445447
ONLI_FR2S,-14.649439,145.492935
ONLI_LA1S,-14.6877065,145.465276
ONLI_BA1D,-14.65072495,145.4502155
ONLI_BA1S,-14.650714,145.450096
ONLI_BA2S,-14.667794,145.441894
ONLI_LO1S,-14.6835,145.450361
ONLI_CL1S,-14.663694,145.451111
ONLI_NT1D,-14.646028,145.453583
ONLI_NT1S,-14.646083,145.45375
ONLI_BV1S,-14.684389,145.44
ONLI_RE1S,-14.679194,145.443583
ONLI_LA2S,-14.686861,145.454972
ONLI_TA1S,-14.685111,145.466972
ONLI_PA1S,-14.696806,145.449889
ONLI_CN1S,-14.658139,145.451583
