Site,Latitude,Longitude,mean_wspeed_u,mean_wspeed_v,mean_wind_speed,sd_wind_speed,cv_wind_speed,min_wind_speed,max_wind_speed,wind_speed_range,wind_vector_magnitude,mean_wind_direction,wind_directional_constancy,wind_directional_variability,predominant_wind_sector,trade_wind_component,alongshore_wind_component,crossshore_wind_component,easterly_exposure,westerly_exposure,northerly_exposure,southerly_exposure,summer_wind_speed,autumn_wind_speed,winter_wind_speed,spring_wind_speed,seasonal_wind_range,dominant_wind_season,summer_winter_wind_diff,mean_wave_energy_proxy,extreme_wind_frequency,calm_wind_frequency,wind_transport_potential,wind_dispersal_symmetry,wind_retention_potential,wind_exposure_category,wind_directional_consistency_category,wind_seasonal_variability_category,wind_regime_type,mean_u,mean_v,,,,,,,,,current_directional_consistency_category,current_seasonal_variability_category,,mean_current_speed,sd_current_speed,cv_current_speed,min_current_speed,max_current_speed,current_speed_range,mean_current_direction,predominant_current_sector,alongshore_current_component,crossshore_current_component,summer_current_speed,autumn_current_speed,winter_current_speed,spring_current_speed,seasonal_current_range,dominant_current_season,summer_winter_current_diff,extreme_current_frequency,calm_current_frequency,current_transport_potential,current_dispersal_symmetry,current_retention_potential,current_flow_category,current_regime_type
Ahya_100a,-23.90718265,152.3868982,-3.494511839,2.0559679422280546,4.551260426781804,1.8484104165777173,0.4061315423087596,0.1311380224532832,8.769820187895368,8.638682165442084,4.054456458,120.4700851038607,0.8908425530509021,0.1091574469490979,SE,3.9247818920449298,2.0559679422280546,-3.494511839,0,3.4945118388582226,2.278044641645142,0.22207669941708727,5.0700941010951555,5.8753030689019194,3.7859238826509376,3.4352885304559915,2.440014538445928,Autumn,1.2841702184442179,141.86436714721958,5.454545454545454,8.181818181818182,4.054456458,0.2321881168797032,0.023984003707360497,Sheltered,Consistent,High,Steady_Weak,0.002224755,0.00138922,0.002622874,0.15683168754786975,0.8431683124521303,-5.91E-04,0.006231481,0.004006726,0.006741856,0.005352636,Variable,Low,current,0.016724131357730522,0.010263203,0.6136763023562346,0.001949768,0.045358195,0.043408427,238.01780973656537,SW,0.00138922,0.002224755,0.016249527,0.019536200473836352,0.015713388848530276,0.015432565314326144,0.004103635,Autumn,5.361378466301539e-4,5.454545454545454,100,0.002622874,0.866973359,50.41626942629736,Low_Flow,Variable_Weak
Ahya_100b,-14.65088219,145.6385087,-4.810532304,4.096847608946902,6.506745137045185,3.127466552977855,0.4806499235957606,0.11157249899949115,11.047288787225385,10.935716288225894,6.318653446327015,130.4190845918457,0.97109281418642035,0.028907186,SE,6.2984687387569895,4.096847608946902,-4.810532304,0.04859744,4.859129743973654,4.132390604887312,0.035542996,2.5187053315055707,7.220411582991974,9.229963046597504,7.353310943051588,6.711257715091934,Winter,6.711257715091934,450.12176091916706,5.454545454545454,11.818181818181818,6.318653446327015,0.2606853039013092,0.004442649,Exposed,Consistent,High,Steady_Strong,-0.128632707,0.15930586246897774,0.20475529600860223,0.9780556338877937,0.021944366112206293,0.20360331535670254,1.746237144350457e-4,0.1288073311670323,0.15930586246897774,0,Consistent,Low,current,0.209349334,0.053847043,0.25721143652227213,0.09974202,0.3411664915602087,0.24142447130293176,141.0806005971207,SE,0.15930586246897774,-0.128632707,0.18733000509996706,0.20844061629988406,0.22276943868409738,0.22048833914572066,0.035439434,Winter,0.035439434,5.454545454545454,0,0.20475529600860223,0.3855595108955444,0.10482176200823662,High_Flow,Steady_Strong
Ahya_101a,-23.90718332,152.3868906,-3.494513535,2.0559681855787724,4.551261645419332,1.8484102149716717,0.40613138926697934,0.13114149766812033,8.769820912686837,8.638679415018718,4.054458043057759,120.47007591697081,0.8908426627457054,0.10915733725429455,SE,3.9247832631196724,2.0559681855787724,-3.494513535,0,3.494513535,2.2780448216333182,0.22207663605454547,5.070094767330365,5.875304442572331,3.785925668714645,3.4352896199554674,2.440014822616863,Autumn,1.2841690986157195,141.86444627311732,5.454545454545454,8.181818181818182,4.054458043057759,0.23218794990239866,0.023983973183382492,Sheltered,Consistent,High,Steady_Weak,0.010632957,-0.005427587,0.011938109796415824,0.7431326891373267,0.25686731086267334,-0.011356519,0.011380867167561192,7.479104909090907e-4,0.002061574,0.007489161,Consistent,Low,current,0.016064574,0.008143113,0.5068988010597348,0.002131507,0.045873496,0.043741989563449754,297.04201339093476,NW,-0.005427587,0.010632957,0.017962627,0.014248496710539642,0.014149150634474214,0.017757424,0.003813476,Summer,0.003813476,5.454545454545454,100,0.011938109796415824,0.3381114914043184,15.989674976030283,Low_Flow,Steady_Weak
Ahya_101b,-14.65092226,145.6384919,-4.810532817,4.0968509282384185,6.506746844,3.127465182138228,0.480649587,0.11156601557958322,11.047291084791764,10.93572506921218,6.3186559891153395,130.41910448967653,0.9710929502330525,0.028907049766947468,SE,6.298471448678804,4.0968509282384185,-4.810532817,0.048596864,4.859129680333493,4.132393906314409,0.035542978,2.518709550908687,7.220415685917123,9.229962843161937,7.353309465685335,6.711253292,Winter,6.711253292,450.1218859304307,5.454545454545454,11.818181818181818,6.3186559891153395,0.2606854189859227,0.004442627,Exposed,Consistent,High,Steady_Strong,-0.128643646,0.1593049176585426,0.20476143274538036,0.9780529250109301,0.021947074989069892,0.20361038170338552,1.7471736193951852e-4,0.12881836294828744,0.1593049176585426,0,Consistent,Low,current,0.20935618871861364,0.053845193,0.257194181,0.099740187,0.34114289432556794,0.24140270774552391,141.07805320908054,SE,0.1593049176585426,-0.128643646,0.18731181938396899,0.20845466069915383,0.22279226939698257,0.22049892164135992,0.03548045,Winter,0.03548045,5.454545454545454,0,0.20476143274538036,0.3855273809973101,0.10483126925169611,High_Flow,Steady_Strong
Ahya_102a,-23.90717134,152.3868998,-3.494513143,2.0559678414018383,4.551261133688771,1.8484102631565325,0.406131446,0.1311400556884883,8.769820845,8.638680789,4.054457531223488,120.47007452935455,0.8908426504495849,0.10915734955041512,SE,3.9247827430203754,2.0559678414018383,-3.494513143,0,3.4945131431454546,2.2780444761745655,0.2220766347727273,5.070094592061448,5.875303754545325,3.7859246917691074,3.4352893883515976,2.440014366193727,Autumn,1.2841699002923406,141.86441169574215,5.454545454545454,8.181818181818182,4.054457531223488,0.23218795,0.023983979,Sheltered,Consistent,High,Steady_Weak,0.010639601291325749,-0.005430089,0.011945165658800666,0.7433488577949171,0.2566511422050829,-0.011362987,0.011387984018598477,7.483827272727276e-4,0.002059421,0.00748951,Consistent,Low,current,0.016069394,0.008145317,0.5068839065437561,0.002129828,0.04587712,0.043747292325344696,297.0382135461477,NW,-0.005430089,0.010639601291325749,0.017966735594522786,0.014250371983750435,0.014154364966210885,0.017765559542961804,0.003812371,Summer,0.003812371,5.454545454545454,100,0.011945165658800666,0.33789654382286693,15.971426337595414,Low_Flow,Steady_Weak
Ahya_102b,-14.65098512,145.6384826,-4.810528319,4.096851831374161,6.506742874893163,3.127460338092641,0.4806491355544754,0.1115581870140453,11.047282229690117,10.935724042676071,6.318653150839983,130.41913716491317,0.9710931063867697,0.028906894,SE,6.298468907265665,4.096851831374161,-4.810528319,0.048596173,4.859124492850646,4.132394723039447,0.035542892,2.5187133122339227,7.220414821548242,9.229954143373863,7.353298819650641,6.711240831139941,Winter,6.711240831139941,450.1207581354708,5.454545454545454,11.818181818181818,6.318653150839983,0.2606856591754937,0.004442606,Exposed,Consistent,High,Steady_Strong,-0.12865967,0.15928619964855267,0.2047569392340598,0.9780425092470195,0.021957491,0.20360847726714476,1.7496967005123165e-4,0.1288346399868287,0.15928619964855267,0,Consistent,Low,current,0.20935382388614085,0.053843616853935065,0.2571895552441328,0.099730422,0.34113628360383125,0.24140586168559097,141.0712739058522,SE,0.15928619964855267,-0.12865967,0.18729562423040344,0.2084500556891758,0.2227983075837554,0.2205052487564685,0.035502683353351966,Winter,0.035502683353351966,5.454545454545454,0,0.2047569392340598,0.38544389623019115,0.10488220537553819,High_Flow,Steady_Strong
Ahya_102b_R2023,-14.65102,145.6384435,-4.810535163,4.096859838994973,6.506752323873488,3.127462342089301,0.4806487455522994,0.11154970162511545,11.047299193763447,10.935749492138331,6.318663552857499,130.41915221047645,0.9710932948337553,0.028906705166244717,SE,6.298479408572269,4.096859838994973,-4.810535163,0.048595408,4.859130570874897,4.132402786309946,0.035542947314972186,2.5187204350143406,7.2204271872207055,9.229963959833745,7.353307482970282,6.711243524819404,Winter,6.711243524819404,450.1224494403711,5.454545454545454,11.818181818181818,6.318663552857499,0.2606856810446605,0.00444257,Exposed,Consistent,High,Steady_Strong,-0.128669324,0.1593043845995541,0.20477715150052592,0.978046518,0.021953482,0.20362816183931604,1.7495338785320064e-4,0.12884427694256337,0.1593043845995541,0,Consistent,Low,current,0.2093736318006298,0.053840115,0.25714849948835417,0.099736212,0.341078959,0.24134274717481463,141.0723698785468,SE,0.1593043845995541,-0.128669324,0.18726367359949123,0.20849211128057132,0.22285178643950707,0.2205247305645153,0.035588113,Winter,0.035588113,5.454545454545454,0,0.20477715150052592,0.3854559313503625,0.10485313750839761,High_Flow,Steady_Strong
Ahya_103a,-23.90710185,152.3869429,-3.49599248,2.055393751991855,4.551675564043543,1.8482269315144682,0.40605418938791205,0.13240288871566738,8.770703198597097,8.63830031,4.055441639868044,120.45248560133066,0.8909777471629233,0.10902225283707667,SE,3.9254228494684944,2.055393751991855,-3.49599248,0,3.49599248,2.277361393362787,0.22196764137093208,5.070596821192522,5.875452576738921,3.785901570422408,3.4363126761796563,2.4391399005592644,Autumn,1.2846952507701141,141.88689218041355,5.454545454545454,8.181818181818182,4.055441639868044,0.23193284965371797,0.023952114183688714,Sheltered,Consistent,High,Steady_Weak,1.173920624066871e-4,0.002238259,0.002241335,0.14895238454667337,0.8510476154533266,0.001499679,0.004787948,0.004670556,0.006374745,0.004136486,Variable,Low,current,0.015047325935882077,0.009302344,0.618205794,4.818775466873322e-4,0.041817640256407496,0.041335763,183.00229483472555,S,0.002238259,1.173920624066871e-4,0.014923591837914012,0.018023759,0.013986701235901544,0.013264416806528049,0.004759343,Autumn,9.368906020124686e-4,5.454545454545454,100,0.002241335,0.9921984767986748,56.55806347783734,Low_Flow,Variable_Weak
Ahya_103b,-14.65098856,145.6384714,-4.810531082,4.096854305429022,6.5067464153505155,3.1274615862022443,0.4806490658409606,0.11155642039630695,11.047288798157176,10.93573237776087,6.318656858289666,130.41913800150655,0.9710931477801079,0.028906852219892087,SE,6.298472610240797,4.096854305429022,-4.810531082,0.048596012216449776,4.859127094425432,4.1323972256844135,0.035542920255391804,2.5187151433757906,7.220418916122834,9.229958391,7.353302934980829,6.711243247396799,Winter,6.711243247396799,450.12144373279534,5.454545454545454,11.818181818181818,6.318656858289666,0.26068563685529145,0.004442597,Exposed,Consistent,High,Steady_Strong,-0.128660867,0.15929447248483292,0.2047641267504256,0.9780451460025996,0.021954854,0.2036151730704594,1.7493168378476066e-4,0.12883579846014054,0.15929447248483292,0,Consistent,Low,current,0.20936060833932235,0.053842693987432404,0.25717681284230204,0.099733545,0.3411186138434352,0.24138506863704856,141.0724680111143,SE,0.15929447248483292,-0.128660867,0.18728739189385446,0.2084643076443522,0.22281492618366666,0.22051086070545078,0.035527534,Winter,0.035527534,5.454545454545454,0,0.2047641267504256,0.3854580964541908,0.10486621228104635,High_Flow,Steady_Strong
Ahya_103b_R2023,-14.650971,145.6384252,-4.810546258,4.096865296358574,6.506764930620135,3.1274699682750047,0.4806489863430393,0.11155244078824393,11.047323928663248,10.935771487875003,6.318675538164436,130.41912465441519,0.9710932553332963,0.028906744666703732,SE,6.298491112886701,4.096865296358574,-4.810546258,0.048595638,4.859141895768035,4.132408394606959,0.035543098248385696,2.5187216000245316,7.220438315810728,9.229982729593809,7.353327694132627,6.7112611295692775,Winter,6.7112611295692775,450.1252228198602,5.454545454545454,11.818181818181818,6.318675538164436,0.2606854082995538,0.004442568,Exposed,Consistent,High,Steady_Strong,-0.128658408,0.15934353068586551,0.20480074859793193,0.9780634011925251,0.021936598807474894,0.20364812358062534,1.746073186198796e-4,0.12883301495230684,0.15934353068586551,0,Consistent,Low,current,0.20939414392586836,0.053839481213369476,0.2571202814173744,0.099753635,0.3410405821161827,0.24128694730154976,141.08162695115936,SE,0.15934353068586551,-0.128658408,0.18725853745178364,0.20853370926908685,0.22288960590363782,0.22053439763260108,0.035631068,Winter,0.035631068,5.454545454545454,0,0.20480074859793193,0.385568263,0.10476223640352182,High_Flow,Steady_Strong
