Da,Variable,Depth,Site,Latitude,Longitude,mean,median,p5,p95,lowest,highest
1/12/2014,wspeed_u,99999.9,ONLI_LO1S,-14.6835,145.450361,-3.638142787,-4.439418424,-7.258121124,4.110542309273696,-8.59091534,8.338664494650734
1/12/2014,wspeed_u,99999.9,ONLI_CL1S,-14.663694,145.451111,no data,no data,no data,no data,no data,no data
1/12/2014,wspeed_u,99999.9,ONLI_NT1D,-14.646028,145.453583,-3.651670149,-4.425059384,-7.274171558,3.9792390632964207,-8.650326981,8.255487817649648
1/12/2014,wspeed_u,99999.9,ONLI_NT1S,-14.646083,145.45375,-3.651681205,-4.425034698,-7.274260939,3.9792590038859017,-8.650418692,8.255430483245144
1/12/2014,wspeed_u,99999.9,ONLI_BV1S,-14.684389,145.44,-3.640596495,-4.441765686,-7.26451162,4.084963732907207,-8.587905241,8.317477991757185
1/12/2014,wspeed_u,99999.9,ONLI_RE1S,-14.679194,145.443583,-3.641722305,-4.453894553,-7.269141948,4.101111169302661,-8.594604715,8.311481784
1/12/2014,wspeed_u,99999.9,ONLI_LA2S,-14.686861,145.454972,-3.636040038,-4.435601465,-7.250971873,4.1195841961345545,-8.587326736,8.354148734426444
1/12/2014,wspeed_u,99999.9,ONLI_TA1S,-14.685111,145.466972,-3.631799397,-4.408721878,-7.237952008,4.124845343291722,-8.586044226,8.388094843620651
1/12/2014,wspeed_u,99999.9,ONLI_PA1S,-14.696806,145.449889,-3.633924771,-4.43875377,-7.240651964,4.081483125896447,-8.573524952,8.365003112
1/12/2014,wspeed_u,99999.9,ONLI_CN1S,-14.658139,145.451583,-3.651162275,-4.427134745,-7.267965127,3.9899719359405825,-8.643412391,8.257184793367756
1/12/2014,wspeed_u,99999.9,CBLM_BA1S,-23.900155,152.393624,-2.316377356,-2.477234179,-7.430390616,3.480365753418475,-12.26090527,6.944451924337665
1/12/2014,wspeed_u,99999.9,CBLM_BA2S,-23.894298,152.404406,-2.320451653,-2.474863401,-7.432821225,3.468748987,-12.26096377,6.921233912802995
1/12/2014,wspeed_u,99999.9,CBLM_FL1S,-23.884903,152.413621,-2.325283866,-2.468957575,-7.43709498,3.448157586139395,-12.26596706,6.895873655300665
1/12/2014,wspeed_u,99999.9,CBLM_FL2S,-23.917571,152.391971,-2.307727951,-2.454037028,-7.420367915,3.504614414531824,-12.23770554,6.980722693168331
1/12/2014,wspeed_u,99999.9,CBLM_LA1S,-23.896147,152.413821,-2.320253535,-2.494327703,-7.43033838,3.4721204952956097,-12.25119575,6.917370513753512
1/12/2014,wspeed_u,99999.9,KEGK_BA1S,-23.1965435,150.9368275,-2.622834989,-2.784570757,-7.390456005,2.2012518348422203,-11.17725423,5.7559588928778105
1/12/2014,wspeed_u,99999.9,KEHW_BA1S,-23.2018935,150.966579,-2.612422535,-2.771388289,-7.390456694,2.2535812607385948,-11.28215607,6.040425483535901
1/12/2014,wspeed_u,99999.9,KEML_BA1S,-23.150495,150.90294,-2.596800116,-2.7380598,-7.260732266,2.056892179845391,-11.09554247,5.355905775504756
1/12/2014,wspeed_u,99999.9,KEMD_BA1S,-23.1619975,150.9208225,-2.597573482,-2.777090078,-7.273185214,2.121847547491524,-11.12667171,5.530307980798007
1/12/2014,wspeed_u,99999.9,KENK_BA1S,-23.0843065,150.885571,-2.549063962,-2.742532599,-7.217227297,2.0171628524062544,-11.0494261,5.070750799
1/12/2014,wspeed_u,99999.9,CBHE_BA1D,-23.428043,151.952453,-2.448729374,-2.662406283,-7.118148723,2.751332568036246,-12.54076805,6.511536450039438
1/12/2014,wspeed_u,99999.9,CBHE_BA1S,-23.4284405,151.952418,-2.448726485,-2.662507541,-7.118228299,2.751669737023085,-12.54130095,6.511699769931525
1/12/2014,wspeed_u,99999.9,CBHE_BA2D,-23.434075,151.920269,-2.452580494,-2.748179512,-7.177869763,2.717752588130284,-12.49580819,6.496341817
1/12/2014,wspeed_u,99999.9,CBHE_BA2S,-23.433982,151.920934,-2.452384862,-2.742309976,-7.177627561,2.717611361223533,-12.49478368,6.496021627282213
1/12/2014,wspeed_u,99999.9,CBHE_FL1S,-23.4561755,151.925688,-2.450297775,-2.737336818,-7.205782314,2.746598187164886,-12.52844275,6.530516925819765
1/12/2014,wspeed_u,99999.9,CBHE_FR1D,-23.472098,151.977937,-2.442618753,-2.650967087,-7.146570369,2.8192288291149175,-12.62411708,6.571385383866959
1/12/2014,wspeed_u,99999.9,CBHE_FR1S,-23.471972,151.9777105,-2.442620305,-2.652012933,-7.146511395,2.8191716119875836,-12.62410088,6.571445637250737
