Site_original,Site,Latitude,Longitude,Depth
CBHE_LA2S,CBHE_LA2S_v6,-23.446857,151.91471,99999.9
CBHE_LA2S,CBHE_LA2S_v6,-23.446857,151.91471,-2.35
CBHE_LA2S,CBHE_LA2S_v5,-23.446596,151.914423,99999.9
CBHE_LA2S,CBHE_LA2S_v5,-23.446596,151.914423,-2.35
CBHE_LA2S,CBHE_LA2S_v4,-23.446363,151.914292,99999.9
CBHE_LA2S,CBHE_LA2S_v4,-23.446363,151.914292,-2.35
CBHE_LA2S,CBHE_LA2S_v3,-23.446343,151.91423,99999.9
CBHE_LA2S,CBHE_LA2S_v3,-23.446343,151.91423,-2.35
CBHE_LA2S,CBHE_LA2S_v2,-23.445995,151.914251,99999.9
CBHE_LA2S,CBHE_LA2S_v2,-23.445995,151.914251,-2.35
CBHE_LA2S,CBHE_LA2S_v1,-23.443793,151.913647,99999.9
CBHE_LA2S,CBHE_LA2S_v1,-23.443793,151.913647,-2.35
CBHE_LA3S,CBHE_LA3S_v10,-23.442017,151.919499,99999.9
CBHE_LA3S,CBHE_LA3S_v10,-23.442017,151.919499,-2.35
CBHE_LA3S,CBHE_LA3S_v9,-23.441863,151.919192,99999.9
CBHE_LA3S,CBHE_LA3S_v9,-23.441863,151.919192,-2.35
CBHE_LA3S,CBHE_LA3S_v8,-23.441833,151.919367,99999.9
CBHE_LA3S,CBHE_LA3S_v8,-23.441833,151.919367,-2.35
CBHE_LA3S,CBHE_LA3S_v7,-23.44179,151.91939,99999.9
CBHE_LA3S,CBHE_LA3S_v7,-23.44179,151.91939,-2.35
CBHE_LA3S,CBHE_LA3S_v6,-23.44123,151.92091,99999.9
CBHE_LA3S,CBHE_LA3S_v6,-23.44123,151.92091,-2.35
CBHE_LA3S,CBHE_LA3S_v5,-23.4408,151.921151,99999.9
CBHE_LA3S,CBHE_LA3S_v5,-23.4408,151.921151,-2.35
CBHE_LA3S,CBHE_LA3S_v4,-23.440581,151.920303,99999.9
CBHE_LA3S,CBHE_LA3S_v4,-23.440581,151.920303,-2.35
CBHE_LA3S,CBHE_LA3S_v3,-23.440433,151.920458,99999.9
CBHE_LA3S,CBHE_LA3S_v3,-23.440433,151.920458,-2.35
CBHE_LA3S,CBHE_LA3S_v2,-23.438065,151.922426,99999.9
CBHE_LA3S,CBHE_LA3S_v2,-23.438065,151.922426,-2.35
CBHE_LA3S,CBHE_LA3S_v1,-23.437415,151.923291,99999.9
CBHE_LA3S,CBHE_LA3S_v1,-23.437415,151.923291,-2.35
OCCH_BA1S,OCCH_BA1S_v2,-18.6532055,147.708533,99999.9
OCCH_BA1S,OCCH_BA1S_v2,-18.6532055,147.708533,-5.35
OCCH_BA1S,OCCH_BA1S_v1,-18.653034,147.708676,99999.9
OCCH_BA1S,OCCH_BA1S_v1,-18.653034,147.708676,-5.35
OCCH_BA2S,OCCH_BA2S_v2,-18.660365,147.702675,99999.9
OCCH_BA2S,OCCH_BA2S_v2,-18.660365,147.702675,-5.35
OCCH_BA2S,OCCH_BA2S_v1,-18.66016,147.70297,99999.9
OCCH_BA2S,OCCH_BA2S_v1,-18.66016,147.70297,-5.35
OCCH_FL1S,OCCH_FL1S_v2,-18.652217,147.7184615,99999.9
OCCH_FL1S,OCCH_FL1S_v2,-18.652217,147.7184615,-5.35
OCCH_FL1S,OCCH_FL1S_v1,-18.652112,147.718717,99999.9
OCCH_FL1S,OCCH_FL1S_v1,-18.652112,147.718717,-5.35
OCLB_BA1S,OCLB_BA1S_v2,-18.9493475,147.6929265,99999.9
OCLB_BA1S,OCLB_BA1S_v2,-18.9493475,147.6929265,-5.35
OCLB_BA1S,OCLB_BA1S_v1,-18.949114,147.693065,99999.9
OCLB_BA1S,OCLB_BA1S_v1,-18.949114,147.693065,-5.35
OCLB_FL1S,OCLB_FL1S_v2,-18.944082,147.699448,99999.9
OCLB_FL1S,OCLB_FL1S_v2,-18.944082,147.699448,-5.35
OCLB_FL1S,OCLB_FL1S_v1,-18.944062,147.699285,99999.9
OCLB_FL1S,OCLB_FL1S_v1,-18.944062,147.699285,-5.35
OCLB_LA1S,OCLB_LA1S_v2,-18.949409,147.701664,99999.9
OCLB_LA1S,OCLB_LA1S_v2,-18.949409,147.701664,-2.35
OCLB_LA1S,OCLB_LA1S_v1,-18.949382,147.701909,99999.9
OCLB_LA1S,OCLB_LA1S_v1,-18.949382,147.701909,-2.35
