individualID,projectID,scientificName,scientificAbbreviation,dayCollected,monthCollected,yearCollected,locality,decimalLatitudeOriginal,decimalLongitudeOriginal,decimalLatitude,decimalLongitude,georeferenceProtocol,coordinateUncertaintyInMeters,depthOfColonyinMetersOriginal,depthOfColonyinMetersCorrected,EcoPlotID_full,k_value_GBR1,long_GBR1,lat_GBR1,k_value_GBR4,long_GBR4,lat_GBR4,Site.Name,Depth,Chl_a_sum_mean_monthly_max,Chl_a_sum_median_monthly_max,Chl_a_sum_overall_mean,Chl_a_sum_overall_median,Chl_a_sum_cv_monthly_mean,Chl_a_sum_sd_monthly_mean,NO3_mean_monthly_max,NO3_median_monthly_max,NO3_overall_mean,NO3_overall_median,NO3_cv_monthly_mean,NO3_sd_monthly_mean,Oxygen_mean_monthly_max,Oxygen_median_monthly_max,Oxygen_overall_mean,Oxygen_overall_median,Oxygen_cv_monthly_mean,Oxygen_sd_monthly_mean,PH_mean_monthly_max,PH_median_monthly_max,PH_overall_mean,PH_overall_median,PH_cv_monthly_mean,PH_sd_monthly_mean,alk_mean_monthly_max,alk_median_monthly_max,alk_overall_mean,alk_overall_median,alk_cv_monthly_mean,alk_sd_monthly_mean,omega_ar_mean_monthly_max,omega_ar_median_monthly_max,omega_ar_overall_mean,omega_ar_overall_median,omega_ar_cv_monthly_mean,omega_ar_sd_monthly_mean
1,ECO03,Acropora hyacinthus,Ahya,11,5,2021,Lady_Musgrave,-23.884903,152.413621,-23.884903,152.413621,GPS EcoRRAP sites,60,1-May,4.5,CBLM_FL1S,5.35,152.415371,-23.884904,5.5,152.398788,-23.896022,CBLM_FL1S,-5.55,1.335192456,1.280713449,0.96535457,0.910107383,30.94804814,0.298758397,4.247935402,2.755040169,1.181185577,0.676828033,82.15827841,0.970441734,7091.656468,7073.389873,7008.304997,6976.447179,2.924336918,204.9464503,8.123650983,8.1220132,8.113110602,8.110308711,0.32592248,0.026442451,2250.326868,2250.669926,2247.494672,2247.268183,0.194709328,4.376081775,3.727743019,3.732025898,3.682341893,3.696726248,1.789947107,0.065911972
2,ECO03,Acropora hyacinthus,Ahya,11,5,2021,Lady_Musgrave,-23.884903,152.413621,-23.884903,152.413621,GPS EcoRRAP sites,60,1-May,4.5,CBLM_FL1S,5.35,152.415371,-23.884904,5.5,152.398788,-23.896022,CBLM_FL1S,-5.55,1.335192456,1.280713449,0.96535457,0.910107383,30.94804814,0.298758397,4.247935402,2.755040169,1.181185577,0.676828033,82.15827841,0.970441734,7091.656468,7073.389873,7008.304997,6976.447179,2.924336918,204.9464503,8.123650983,8.1220132,8.113110602,8.110308711,0.32592248,0.026442451,2250.326868,2250.669926,2247.494672,2247.268183,0.194709328,4.376081775,3.727743019,3.732025898,3.682341893,3.696726248,1.789947107,0.065911972
3,ECO03,Acropora hyacinthus,Ahya,11,5,2021,Lady_Musgrave,-23.884903,152.413621,-23.884903,152.413621,GPS EcoRRAP sites,60,1-May,4.5,CBLM_FL1S,5.35,152.415371,-23.884904,5.5,152.398788,-23.896022,CBLM_FL1S,-5.55,1.335192456,1.280713449,0.96535457,0.910107383,30.94804814,0.298758397,4.247935402,2.755040169,1.181185577,0.676828033,82.15827841,0.970441734,7091.656468,7073.389873,7008.304997,6976.447179,2.924336918,204.9464503,8.123650983,8.1220132,8.113110602,8.110308711,0.32592248,0.026442451,2250.326868,2250.669926,2247.494672,2247.268183,0.194709328,4.376081775,3.727743019,3.732025898,3.682341893,3.696726248,1.789947107,0.065911972
4,ECO03,Acropora hyacinthus,Ahya,11,5,2021,Lady_Musgrave,-23.884903,152.413621,-23.884903,152.413621,GPS EcoRRAP sites,60,1-May,4.5,CBLM_FL1S,5.35,152.415371,-23.884904,5.5,152.398788,-23.896022,CBLM_FL1S,-5.55,1.335192456,1.280713449,0.96535457,0.910107383,30.94804814,0.298758397,4.247935402,2.755040169,1.181185577,0.676828033,82.15827841,0.970441734,7091.656468,7073.389873,7008.304997,6976.447179,2.924336918,204.9464503,8.123650983,8.1220132,8.113110602,8.110308711,0.32592248,0.026442451,2250.326868,2250.669926,2247.494672,2247.268183,0.194709328,4.376081775,3.727743019,3.732025898,3.682341893,3.696726248,1.789947107,0.065911972
19,ECO03,Acropora hyacinthus,Ahya,12,5,2021,Lady_Musgrave,-23.917571,152.391971,-23.917571,152.391971,GPS EcoRRAP sites,60,1-May,5.1,CBLM_FL2S,5.35,152.390371,-23.919904,5.5,152.398788,-23.926022,CBLM_FL2S,-5.55,1.20780797,1.145538731,0.888739456,0.81606981,27.23163211,0.242018259,2.384722304,1.570636813,0.793355642,0.555958812,74.39028927,0.590179557,7078.175592,7062.543141,7002.125952,6983.341742,2.843449097,199.1018872,8.121514184,8.119992828,8.110856354,8.106865239,0.333538244,0.027052808,2250.340457,2250.726243,2247.616712,2247.737809,0.196670276,4.420393986,3.722395411,3.722767406,3.676361425,3.691412686,1.870599183,0.068769987
22,ECO03,Acropora hyacinthus,Ahya,12,5,2021,Lady_Musgrave,-23.917571,152.391971,-23.917571,152.391971,GPS EcoRRAP sites,60,1-May,5.1,CBLM_FL2S,5.35,152.390371,-23.919904,5.5,152.398788,-23.926022,CBLM_FL2S,-5.55,1.20780797,1.145538731,0.888739456,0.81606981,27.23163211,0.242018259,2.384722304,1.570636813,0.793355642,0.555958812,74.39028927,0.590179557,7078.175592,7062.543141,7002.125952,6983.341742,2.843449097,199.1018872,8.121514184,8.119992828,8.110856354,8.106865239,0.333538244,0.027052808,2250.340457,2250.726243,2247.616712,2247.737809,0.196670276,4.420393986,3.722395411,3.722767406,3.676361425,3.691412686,1.870599183,0.068769987
24,ECO03,Acropora hyacinthus,Ahya,12,5,2021,Lady_Musgrave,-23.917571,152.391971,-23.917571,152.391971,GPS EcoRRAP sites,60,1-May,5.1,CBLM_FL2S,5.35,152.390371,-23.919904,5.5,152.398788,-23.926022,CBLM_FL2S,-5.55,1.20780797,1.145538731,0.888739456,0.81606981,27.23163211,0.242018259,2.384722304,1.570636813,0.793355642,0.555958812,74.39028927,0.590179557,7078.175592,7062.543141,7002.125952,6983.341742,2.843449097,199.1018872,8.121514184,8.119992828,8.110856354,8.106865239,0.333538244,0.027052808,2250.340457,2250.726243,2247.616712,2247.737809,0.196670276,4.420393986,3.722395411,3.722767406,3.676361425,3.691412686,1.870599183,0.068769987
27,ECO03,Acropora hyacinthus,Ahya,12,5,2021,Lady_Musgrave,-23.900155,152.393624,-23.900155,152.393624,GPS EcoRRAP sites,60,2-Sep,4.1,CBLM_BA1S,5.35,152.395371,-23.899904,5.5,152.398788,-23.896022,CBLM_BA1S,-5.55,1.279466057,1.224585292,0.938109423,0.876572131,29.40398387,0.275841543,3.334195254,2.017057697,1.011044827,0.606219203,80.25306485,0.81139446,7084.870389,7065.73934,7006.088083,6974.890685,2.8865196,202.2321057,8.122430693,8.120281227,8.112067882,8.109289065,0.329276368,0.026711123,2250.128045,2250.68769,2247.449854,2247.243836,0.195945675,4.40378078,3.723814153,3.727227328,3.679078721,3.693026236,1.824206861,0.067114006
28,ECO03,Acropora hyacinthus,Ahya,12,5,2021,Lady_Musgrave,-23.900155,152.393624,-23.900155,152.393624,GPS EcoRRAP sites,60,2-Sep,4.1,CBLM_BA1S,5.35,152.395371,-23.899904,5.5,152.398788,-23.896022,CBLM_BA1S,-5.55,1.279466057,1.224585292,0.938109423,0.876572131,29.40398387,0.275841543,3.334195254,2.017057697,1.011044827,0.606219203,80.25306485,0.81139446,7084.870389,7065.73934,7006.088083,6974.890685,2.8865196,202.2321057,8.122430693,8.120281227,8.112067882,8.109289065,0.329276368,0.026711123,2250.128045,2250.68769,2247.449854,2247.243836,0.195945675,4.40378078,3.723814153,3.727227328,3.679078721,3.693026236,1.824206861,0.067114006
29,ECO03,Acropora hyacinthus,Ahya,12,5,2021,Lady_Musgrave,-23.900155,152.393624,-23.900155,152.393624,GPS EcoRRAP sites,60,2-Sep,4.1,CBLM_BA1S,5.35,152.395371,-23.899904,5.5,152.398788,-23.896022,CBLM_BA1S,-5.55,1.279466057,1.224585292,0.938109423,0.876572131,29.40398387,0.275841543,3.334195254,2.017057697,1.011044827,0.606219203,80.25306485,0.81139446,7084.870389,7065.73934,7006.088083,6974.890685,2.8865196,202.2321057,8.122430693,8.120281227,8.112067882,8.109289065,0.329276368,0.026711123,2250.128045,2250.68769,2247.449854,2247.243836,0.195945675,4.40378078,3.723814153,3.727227328,3.679078721,3.693026236,1.824206861,0.067114006
