individualID,projectID,scientificName,scientificAbbreviation,dayCollected,monthCollected,yearCollected,locality,decimalLatitudeOriginal,decimalLongitudeOriginal,decimalLatitude,decimalLongitude,georeferenceProtocol,coordinateUncertaintyInMeters,depthOfColonyinMetersOriginal,depthOfColonyinMetersCorrected,EcoPlotID_full,k_value_GBR1,long_GBR1,lat_GBR1,k_value_GBR4,long_GBR4,lat_GBR4
1,ECO03,Acropora hyacinthus,Ahya,11,5,2021,Lady_Musgrave,-23.884903,152.413621,-23.884903,152.413621,GPS EcoRRAP sites,60,1-May,4.5,CBLM_FL1S,5.35,152.415371,-23.884904,5.5,152.398788,-23.896022
2,ECO03,Acropora hyacinthus,Ahya,11,5,2021,Lady_Musgrave,-23.884903,152.413621,-23.884903,152.413621,GPS EcoRRAP sites,60,1-May,4.5,CBLM_FL1S,5.35,152.415371,-23.884904,5.5,152.398788,-23.896022
3,ECO03,Acropora hyacinthus,Ahya,11,5,2021,Lady_Musgrave,-23.884903,152.413621,-23.884903,152.413621,GPS EcoRRAP sites,60,1-May,4.5,CBLM_FL1S,5.35,152.415371,-23.884904,5.5,152.398788,-23.896022
4,ECO03,Acropora hyacinthus,Ahya,11,5,2021,Lady_Musgrave,-23.884903,152.413621,-23.884903,152.413621,GPS EcoRRAP sites,60,1-May,4.5,CBLM_FL1S,5.35,152.415371,-23.884904,5.5,152.398788,-23.896022
5,ECO03,Stylophora pistillata,Spis,13,5,2021,Lady_Musgrave,-23.896238,152.413635,-23.896238,152.413635,GPS EcoRRAP sites,60,1,4.1,CBLM_LA1S,5.35,152.415371,-23.894904,5.5,152.398788,-23.896022
6,ECO03,Stylophora pistillata,Spis,13,5,2021,Lady_Musgrave,-23.896238,152.413635,-23.896238,152.413635,GPS EcoRRAP sites,60,1,4.1,CBLM_LA1S,5.35,152.415371,-23.894904,5.5,152.398788,-23.896022
7,ECO03,Stylophora pistillata,Spis,11,5,2021,Lady_Musgrave,-23.884903,152.413621,-23.884903,152.413621,GPS EcoRRAP sites,60,1-May,4.5,CBLM_FL1S,5.35,152.415371,-23.884904,5.5,152.398788,-23.896022
8,ECO03,Stylophora pistillata,Spis,11,5,2021,Lady_Musgrave,-23.884903,152.413621,-23.884903,152.413621,GPS EcoRRAP sites,60,1-May,4.5,CBLM_FL1S,5.35,152.415371,-23.884904,5.5,152.398788,-23.896022
9,ECO03,Stylophora pistillata,Spis,11,5,2021,Lady_Musgrave,-23.884903,152.413621,-23.884903,152.413621,GPS EcoRRAP sites,60,1-May,4.5,CBLM_FL1S,5.35,152.415371,-23.884904,5.5,152.398788,-23.896022
10,ECO03,Stylophora pistillata,Spis,11,5,2021,Lady_Musgrave,-23.884903,152.413621,-23.884903,152.413621,GPS EcoRRAP sites,60,1-May,4.5,CBLM_FL1S,5.35,152.415371,-23.884904,5.5,152.398788,-23.896022
11,ECO03,Stylophora pistillata,Spis,11,5,2021,Lady_Musgrave,-23.884903,152.413621,-23.884903,152.413621,GPS EcoRRAP sites,60,1-May,4.5,CBLM_FL1S,5.35,152.415371,-23.884904,5.5,152.398788,-23.896022
12,ECO03,Stylophora pistillata,Spis,11,5,2021,Lady_Musgrave,-23.884903,152.413621,-23.884903,152.413621,GPS EcoRRAP sites,60,1-May,4.5,CBLM_FL1S,5.35,152.415371,-23.884904,5.5,152.398788,-23.896022
13,ECO03,Stylophora pistillata,Spis,12,5,2021,Lady_Musgrave,-23.917571,152.391971,-23.917571,152.391971,GPS EcoRRAP sites,60,1-May,5.1,CBLM_FL2S,5.35,152.390371,-23.919904,5.5,152.398788,-23.926022
