"","individualID","projectID","scientificName","scientificAbbreviation","dayCollected","monthCollected","yearCollected","locality","decimalLatitudeOriginal","decimalLongitudeOriginal","decimalLatitude","decimalLongitude","georeferenceProtocol","coordinateUncertaintyInMeters","depthOfColonyinMetersOriginal","depthOfColonyinMetersCorrected","EcoPlotID_full","k_value_GBR1","long_GBR1","lat_GBR1","k_value_GBR4","long_GBR4","lat_GBR4","Site.Name","Depth","Chl_a_sum_mean_monthly_max","Chl_a_sum_median_monthly_max","Chl_a_sum_overall_mean","Chl_a_sum_overall_median","Chl_a_sum_cv_monthly_mean","Chl_a_sum_sd_monthly_mean","NO3_mean_monthly_max","NO3_median_monthly_max","NO3_overall_mean","NO3_overall_median","NO3_cv_monthly_mean","NO3_sd_monthly_mean","Oxygen_mean_monthly_max","Oxygen_median_monthly_max","Oxygen_overall_mean","Oxygen_overall_median","Oxygen_cv_monthly_mean","Oxygen_sd_monthly_mean","PH_mean_monthly_max","PH_median_monthly_max","PH_overall_mean","PH_overall_median","PH_cv_monthly_mean","PH_sd_monthly_mean","alk_mean_monthly_max","alk_median_monthly_max","alk_overall_mean","alk_overall_median","alk_cv_monthly_mean","alk_sd_monthly_mean","omega_ar_mean_monthly_max","omega_ar_median_monthly_max","omega_ar_overall_mean","omega_ar_overall_median","omega_ar_cv_monthly_mean","omega_ar_sd_monthly_mean"
"1","1","ECO03","Acropora hyacinthus","Ahya",11,5,2021,"Lady_Musgrave",-23.884903,152.413621,-23.884903,152.413621,"GPS EcoRRAP sites",60,"1-May",4.5,"CBLM_FL1S",5.35,152.415371,-23.884904,5.5,152.398788,-23.896022,"CBLM_FL1S",-5.55,1.33519245573243,1.2807134491556,0.965354570184406,0.910107383477841,30.9480481397659,0.2987583971001,4.247935402,2.75504016908576,1.18118557650325,0.676828033108796,82.1582784098403,0.970441734480418,7091.65646842803,7073.38987253404,7008.30499717926,6976.44717945033,2.92433691782268,204.946450346125,8.12365098294671,8.12201319978747,8.113110602,8.11030871107576,0.32592247951376,0.026442451,2250.32686832936,2250.6699256534,2247.494672446,2247.26818343642,0.194709328,4.37608177476111,3.72774301850824,3.73202589764761,3.68234189303446,3.69672624816039,1.7899471073138,0.065911972
"2","2","ECO03","Acropora hyacinthus","Ahya",11,5,2021,"Lady_Musgrave",-23.884903,152.413621,-23.884903,152.413621,"GPS EcoRRAP sites",60,"1-May",4.5,"CBLM_FL1S",5.35,152.415371,-23.884904,5.5,152.398788,-23.896022,"CBLM_FL1S",-5.55,1.33519245573243,1.2807134491556,0.965354570184406,0.910107383477841,30.9480481397659,0.2987583971001,4.247935402,2.75504016908576,1.18118557650325,0.676828033108796,82.1582784098403,0.970441734480418,7091.65646842803,7073.38987253404,7008.30499717926,6976.44717945033,2.92433691782268,204.946450346125,8.12365098294671,8.12201319978747,8.113110602,8.11030871107576,0.32592247951376,0.026442451,2250.32686832936,2250.6699256534,2247.494672446,2247.26818343642,0.194709328,4.37608177476111,3.72774301850824,3.73202589764761,3.68234189303446,3.69672624816039,1.7899471073138,0.065911972
"3","3","ECO03","Acropora hyacinthus","Ahya",11,5,2021,"Lady_Musgrave",-23.884903,152.413621,-23.884903,152.413621,"GPS EcoRRAP sites",60,"1-May",4.5,"CBLM_FL1S",5.35,152.415371,-23.884904,5.5,152.398788,-23.896022,"CBLM_FL1S",-5.55,1.33519245573243,1.2807134491556,0.965354570184406,0.910107383477841,30.9480481397659,0.2987583971001,4.247935402,2.75504016908576,1.18118557650325,0.676828033108796,82.1582784098403,0.970441734480418,7091.65646842803,7073.38987253404,7008.30499717926,6976.44717945033,2.92433691782268,204.946450346125,8.12365098294671,8.12201319978747,8.113110602,8.11030871107576,0.32592247951376,0.026442451,2250.32686832936,2250.6699256534,2247.494672446,2247.26818343642,0.194709328,4.37608177476111,3.72774301850824,3.73202589764761,3.68234189303446,3.69672624816039,1.7899471073138,0.065911972
"4","4","ECO03","Acropora hyacinthus","Ahya",11,5,2021,"Lady_Musgrave",-23.884903,152.413621,-23.884903,152.413621,"GPS EcoRRAP sites",60,"1-May",4.5,"CBLM_FL1S",5.35,152.415371,-23.884904,5.5,152.398788,-23.896022,"CBLM_FL1S",-5.55,1.33519245573243,1.2807134491556,0.965354570184406,0.910107383477841,30.9480481397659,0.2987583971001,4.247935402,2.75504016908576,1.18118557650325,0.676828033108796,82.1582784098403,0.970441734480418,7091.65646842803,7073.38987253404,7008.30499717926,6976.44717945033,2.92433691782268,204.946450346125,8.12365098294671,8.12201319978747,8.113110602,8.11030871107576,0.32592247951376,0.026442451,2250.32686832936,2250.6699256534,2247.494672446,2247.26818343642,0.194709328,4.37608177476111,3.72774301850824,3.73202589764761,3.68234189303446,3.69672624816039,1.7899471073138,0.065911972
"5","5","ECO03","Stylophora pistillata","Spis",13,5,2021,"Lady_Musgrave",-23.896238,152.413635,-23.896238,152.413635,"GPS EcoRRAP sites",60,"1",4.1,"CBLM_LA1S",5.35,152.415371,-23.894904,5.5,152.398788,-23.896022,"CBLM_LA1S",-5.55,1.30215453409428,1.26488809068379,0.95456242178622,0.89584871313686,30.0747313299842,0.287082083729197,3.81745436710681,2.52594545368842,1.15304564095084,0.673269442101871,77.6100368285207,0.894879146591599,7086.28199592522,7067.39840658399,7005.42975759369,6974.20155323767,2.9076634789225,203.694322603121,8.12303758313539,8.121740621,8.11261053248182,8.10964200931924,0.326856708761113,0.026516612,2250.30336776179,2250.72850837388,2247.55950045974,2247.23649677561,0.195259342871896,4.38856991125257,3.72557865092418,3.72882585686482,3.68084000757382,3.69450721618802,1.804508388133,0.066421067
"6","6","ECO03","Stylophora pistillata","Spis",13,5,2021,"Lady_Musgrave",-23.896238,152.413635,-23.896238,152.413635,"GPS EcoRRAP sites",60,"1",4.1,"CBLM_LA1S",5.35,152.415371,-23.894904,5.5,152.398788,-23.896022,"CBLM_LA1S",-5.55,1.30215453409428,1.26488809068379,0.95456242178622,0.89584871313686,30.0747313299842,0.287082083729197,3.81745436710681,2.52594545368842,1.15304564095084,0.673269442101871,77.6100368285207,0.894879146591599,7086.28199592522,7067.39840658399,7005.42975759369,6974.20155323767,2.9076634789225,203.694322603121,8.12303758313539,8.121740621,8.11261053248182,8.10964200931924,0.326856708761113,0.026516612,2250.30336776179,2250.72850837388,2247.55950045974,2247.23649677561,0.195259342871896,4.38856991125257,3.72557865092418,3.72882585686482,3.68084000757382,3.69450721618802,1.804508388133,0.066421067
"7","7","ECO03","Stylophora pistillata","Spis",11,5,2021,"Lady_Musgrave",-23.884903,152.413621,-23.884903,152.413621,"GPS EcoRRAP sites",60,"1-May",4.5,"CBLM_FL1S",5.35,152.415371,-23.884904,5.5,152.398788,-23.896022,"CBLM_FL1S",-5.55,1.33519245573243,1.2807134491556,0.965354570184406,0.910107383477841,30.9480481397659,0.2987583971001,4.247935402,2.75504016908576,1.18118557650325,0.676828033108796,82.1582784098403,0.970441734480418,7091.65646842803,7073.38987253404,7008.30499717926,6976.44717945033,2.92433691782268,204.946450346125,8.12365098294671,8.12201319978747,8.113110602,8.11030871107576,0.32592247951376,0.026442451,2250.32686832936,2250.6699256534,2247.494672446,2247.26818343642,0.194709328,4.37608177476111,3.72774301850824,3.73202589764761,3.68234189303446,3.69672624816039,1.7899471073138,0.065911972
"8","8","ECO03","Stylophora pistillata","Spis",11,5,2021,"Lady_Musgrave",-23.884903,152.413621,-23.884903,152.413621,"GPS EcoRRAP sites",60,"1-May",4.5,"CBLM_FL1S",5.35,152.415371,-23.884904,5.5,152.398788,-23.896022,"CBLM_FL1S",-5.55,1.33519245573243,1.2807134491556,0.965354570184406,0.910107383477841,30.9480481397659,0.2987583971001,4.247935402,2.75504016908576,1.18118557650325,0.676828033108796,82.1582784098403,0.970441734480418,7091.65646842803,7073.38987253404,7008.30499717926,6976.44717945033,2.92433691782268,204.946450346125,8.12365098294671,8.12201319978747,8.113110602,8.11030871107576,0.32592247951376,0.026442451,2250.32686832936,2250.6699256534,2247.494672446,2247.26818343642,0.194709328,4.37608177476111,3.72774301850824,3.73202589764761,3.68234189303446,3.69672624816039,1.7899471073138,0.065911972
"9","9","ECO03","Stylophora pistillata","Spis",11,5,2021,"Lady_Musgrave",-23.884903,152.413621,-23.884903,152.413621,"GPS EcoRRAP sites",60,"1-May",4.5,"CBLM_FL1S",5.35,152.415371,-23.884904,5.5,152.398788,-23.896022,"CBLM_FL1S",-5.55,1.33519245573243,1.2807134491556,0.965354570184406,0.910107383477841,30.9480481397659,0.2987583971001,4.247935402,2.75504016908576,1.18118557650325,0.676828033108796,82.1582784098403,0.970441734480418,7091.65646842803,7073.38987253404,7008.30499717926,6976.44717945033,2.92433691782268,204.946450346125,8.12365098294671,8.12201319978747,8.113110602,8.11030871107576,0.32592247951376,0.026442451,2250.32686832936,2250.6699256534,2247.494672446,2247.26818343642,0.194709328,4.37608177476111,3.72774301850824,3.73202589764761,3.68234189303446,3.69672624816039,1.7899471073138,0.065911972
"10","10","ECO03","Stylophora pistillata","Spis",11,5,2021,"Lady_Musgrave",-23.884903,152.413621,-23.884903,152.413621,"GPS EcoRRAP sites",60,"1-May",4.5,"CBLM_FL1S",5.35,152.415371,-23.884904,5.5,152.398788,-23.896022,"CBLM_FL1S",-5.55,1.33519245573243,1.2807134491556,0.965354570184406,0.910107383477841,30.9480481397659,0.2987583971001,4.247935402,2.75504016908576,1.18118557650325,0.676828033108796,82.1582784098403,0.970441734480418,7091.65646842803,7073.38987253404,7008.30499717926,6976.44717945033,2.92433691782268,204.946450346125,8.12365098294671,8.12201319978747,8.113110602,8.11030871107576,0.32592247951376,0.026442451,2250.32686832936,2250.6699256534,2247.494672446,2247.26818343642,0.194709328,4.37608177476111,3.72774301850824,3.73202589764761,3.68234189303446,3.69672624816039,1.7899471073138,0.065911972
"11","11","ECO03","Stylophora pistillata","Spis",11,5,2021,"Lady_Musgrave",-23.884903,152.413621,-23.884903,152.413621,"GPS EcoRRAP sites",60,"1-May",4.5,"CBLM_FL1S",5.35,152.415371,-23.884904,5.5,152.398788,-23.896022,"CBLM_FL1S",-5.55,1.33519245573243,1.2807134491556,0.965354570184406,0.910107383477841,30.9480481397659,0.2987583971001,4.247935402,2.75504016908576,1.18118557650325,0.676828033108796,82.1582784098403,0.970441734480418,7091.65646842803,7073.38987253404,7008.30499717926,6976.44717945033,2.92433691782268,204.946450346125,8.12365098294671,8.12201319978747,8.113110602,8.11030871107576,0.32592247951376,0.026442451,2250.32686832936,2250.6699256534,2247.494672446,2247.26818343642,0.194709328,4.37608177476111,3.72774301850824,3.73202589764761,3.68234189303446,3.69672624816039,1.7899471073138,0.065911972
"12","12","ECO03","Stylophora pistillata","Spis",11,5,2021,"Lady_Musgrave",-23.884903,152.413621,-23.884903,152.413621,"GPS EcoRRAP sites",60,"1-May",4.5,"CBLM_FL1S",5.35,152.415371,-23.884904,5.5,152.398788,-23.896022,"CBLM_FL1S",-5.55,1.33519245573243,1.2807134491556,0.965354570184406,0.910107383477841,30.9480481397659,0.2987583971001,4.247935402,2.75504016908576,1.18118557650325,0.676828033108796,82.1582784098403,0.970441734480418,7091.65646842803,7073.38987253404,7008.30499717926,6976.44717945033,2.92433691782268,204.946450346125,8.12365098294671,8.12201319978747,8.113110602,8.11030871107576,0.32592247951376,0.026442451,2250.32686832936,2250.6699256534,2247.494672446,2247.26818343642,0.194709328,4.37608177476111,3.72774301850824,3.73202589764761,3.68234189303446,3.69672624816039,1.7899471073138,0.065911972
"13","13","ECO03","Stylophora pistillata","Spis",12,5,2021,"Lady_Musgrave",-23.917571,152.391971,-23.917571,152.391971,"GPS EcoRRAP sites",60,"1-May",5.1,"CBLM_FL2S",5.35,152.390371,-23.919904,5.5,152.398788,-23.926022,"CBLM_FL2S",-5.55,1.20780796950451,1.14553873058114,0.888739456213272,0.816069809715706,27.2316321149826,0.242018259176695,2.38472230374237,1.57063681299645,0.793355642,0.555958811713903,74.3902892746756,0.590179556998067,7078.1755922723,7062.543141,7002.125951826,6983.34174153852,2.84344909740808,199.101887176574,8.121514184,8.1199928279679,8.1108563540486,8.10686523916189,0.333538243922912,0.027052808,2250.34045653708,2250.72624272465,2247.616712,2247.73780900511,0.196670275732596,4.42039398578023,3.72239541096228,3.7227674056881,3.67636142505916,3.6914126856344,1.87059918306455,0.068769987
"14","14","ECO03","Stylophora pistillata","Spis",12,5,2021,"Lady_Musgrave",-23.917571,152.391971,-23.917571,152.391971,"GPS EcoRRAP sites",60,"1-May",5.1,"CBLM_FL2S",5.35,152.390371,-23.919904,5.5,152.398788,-23.926022,"CBLM_FL2S",-5.55,1.20780796950451,1.14553873058114,0.888739456213272,0.816069809715706,27.2316321149826,0.242018259176695,2.38472230374237,1.57063681299645,0.793355642,0.555958811713903,74.3902892746756,0.590179556998067,7078.1755922723,7062.543141,7002.125951826,6983.34174153852,2.84344909740808,199.101887176574,8.121514184,8.1199928279679,8.1108563540486,8.10686523916189,0.333538243922912,0.027052808,2250.34045653708,2250.72624272465,2247.616712,2247.73780900511,0.196670275732596,4.42039398578023,3.72239541096228,3.7227674056881,3.67636142505916,3.6914126856344,1.87059918306455,0.068769987
"15","15","ECO03","Stylophora pistillata","Spis",12,5,2021,"Lady_Musgrave",-23.917571,152.391971,-23.917571,152.391971,"GPS EcoRRAP sites",60,"1-May",5.1,"CBLM_FL2S",5.35,152.390371,-23.919904,5.5,152.398788,-23.926022,"CBLM_FL2S",-5.55,1.20780796950451,1.14553873058114,0.888739456213272,0.816069809715706,27.2316321149826,0.242018259176695,2.38472230374237,1.57063681299645,0.793355642,0.555958811713903,74.3902892746756,0.590179556998067,7078.1755922723,7062.543141,7002.125951826,6983.34174153852,2.84344909740808,199.101887176574,8.121514184,8.1199928279679,8.1108563540486,8.10686523916189,0.333538243922912,0.027052808,2250.34045653708,2250.72624272465,2247.616712,2247.73780900511,0.196670275732596,4.42039398578023,3.72239541096228,3.7227674056881,3.67636142505916,3.6914126856344,1.87059918306455,0.068769987
"16","16","ECO03","Stylophora pistillata","Spis",12,5,2021,"Lady_Musgrave",-23.917571,152.391971,-23.917571,152.391971,"GPS EcoRRAP sites",60,"1-May",5.1,"CBLM_FL2S",5.35,152.390371,-23.919904,5.5,152.398788,-23.926022,"CBLM_FL2S",-5.55,1.20780796950451,1.14553873058114,0.888739456213272,0.816069809715706,27.2316321149826,0.242018259176695,2.38472230374237,1.57063681299645,0.793355642,0.555958811713903,74.3902892746756,0.590179556998067,7078.1755922723,7062.543141,7002.125951826,6983.34174153852,2.84344909740808,199.101887176574,8.121514184,8.1199928279679,8.1108563540486,8.10686523916189,0.333538243922912,0.027052808,2250.34045653708,2250.72624272465,2247.616712,2247.73780900511,0.196670275732596,4.42039398578023,3.72239541096228,3.7227674056881,3.67636142505916,3.6914126856344,1.87059918306455,0.068769987
"17","17","ECO03","Stylophora pistillata","Spis",12,5,2021,"Lady_Musgrave",-23.917571,152.391971,-23.917571,152.391971,"GPS EcoRRAP sites",60,"1-May",5.1,"CBLM_FL2S",5.35,152.390371,-23.919904,5.5,152.398788,-23.926022,"CBLM_FL2S",-5.55,1.20780796950451,1.14553873058114,0.888739456213272,0.816069809715706,27.2316321149826,0.242018259176695,2.38472230374237,1.57063681299645,0.793355642,0.555958811713903,74.3902892746756,0.590179556998067,7078.1755922723,7062.543141,7002.125951826,6983.34174153852,2.84344909740808,199.101887176574,8.121514184,8.1199928279679,8.1108563540486,8.10686523916189,0.333538243922912,0.027052808,2250.34045653708,2250.72624272465,2247.616712,2247.73780900511,0.196670275732596,4.42039398578023,3.72239541096228,3.7227674056881,3.67636142505916,3.6914126856344,1.87059918306455,0.068769987
"18","18","ECO03","Stylophora pistillata","Spis",12,5,2021,"Lady_Musgrave",-23.917571,152.391971,-23.917571,152.391971,"GPS EcoRRAP sites",60,"1-May",5.1,"CBLM_FL2S",5.35,152.390371,-23.919904,5.5,152.398788,-23.926022,"CBLM_FL2S",-5.55,1.20780796950451,1.14553873058114,0.888739456213272,0.816069809715706,27.2316321149826,0.242018259176695,2.38472230374237,1.57063681299645,0.793355642,0.555958811713903,74.3902892746756,0.590179556998067,7078.1755922723,7062.543141,7002.125951826,6983.34174153852,2.84344909740808,199.101887176574,8.121514184,8.1199928279679,8.1108563540486,8.10686523916189,0.333538243922912,0.027052808,2250.34045653708,2250.72624272465,2247.616712,2247.73780900511,0.196670275732596,4.42039398578023,3.72239541096228,3.7227674056881,3.67636142505916,3.6914126856344,1.87059918306455,0.068769987
