Site,Latitude,Longitude,Variable,Depth,mmm,mean_annual,monthly_variability
CBHE_BA1D,-23.428043,151.952453,eta,99999.9,-0.015397783798988571,-0.11110803741811286,-0.45089071920796603
CBHE_BA1D,-23.428043,151.952453,salt,-24,35.629529408373564,35.58130334714089,0.0022099153157323264
CBHE_BA1D,-23.428043,151.952453,salt,-18,35.629813951603644,35.582246455484885,0.0022089138391649466
CBHE_BA1D,-23.428043,151.952453,salt,-13,35.629491451709576,35.58223006398071,0.0022083114798353057
CBHE_BA1D,-23.428043,151.952453,salt,-9,35.629997310778286,35.58368250730586,0.0022053198928213055
CBHE_BA1D,-23.428043,151.952453,salt,-5.35,35.62983292616389,35.58364372358518,0.002205147075553475
CBHE_BA1D,-23.428043,151.952453,salt,-2.35,35.62946220830833,35.58348874303241,0.002204789513177293
CBHE_BA1D,-23.428043,151.952453,salt,-0.5,35.629127530969456,35.58271095807159,0.002203525758894578
CBHE_BA1D,-23.428043,151.952453,temp,-24,27.305838105910876,25.00273569025454,0.08345581171327987
CBHE_BA1D,-23.428043,151.952453,temp,-18,27.31126316969244,25.005095055559988,0.08366910455366651
CBHE_BA1D,-23.428043,151.952453,temp,-13,27.31063221621023,25.004839927255514,0.08367642113981032
CBHE_BA1D,-23.428043,151.952453,temp,-9,27.325603120837524,25.01280000604272,0.08401092751534513
CBHE_BA1D,-23.428043,151.952453,temp,-5.35,27.324509509106644,25.01183719780978,0.08401679816687666
CBHE_BA1D,-23.428043,151.952453,temp,-2.35,27.32395569859399,25.011218311114252,0.08402079360546766
CBHE_BA1D,-23.428043,151.952453,temp,-0.5,27.32191142454021,25.00913995554383,0.08402323710646795
CBHE_BA1D,-23.428043,151.952453,u,-24,0.0211459953270581,0.017249157645241094,0.4731877949507596
CBHE_BA1D,-23.428043,151.952453,u,-18,0.018649746890922168,0.013111674798191034,1.2522023462561982
CBHE_BA1D,-23.428043,151.952453,u,-13,0.01768535853881347,0.012146557925249752,1.463729746002051
CBHE_BA1D,-23.428043,151.952453,u,-9,0.019690995870915495,0.013266781504895195,1.4438196855059482
CBHE_BA1D,-23.428043,151.952453,u,-5.35,0.020155846932511202,0.012847373280719363,1.7930754287792747
CBHE_BA1D,-23.428043,151.952453,u,-2.35,0.019603556635897072,0.011628925994750518,2.386018654957426
CBHE_BA1D,-23.428043,151.952453,u,-0.5,0.017482782109760744,0.0091711448910212455,4.991487545936797
CBHE_BA1D,-23.428043,151.952453,v,-24,0.0035304913333333333,0.0029138065062805853,0.15726213074952639
CBHE_BA1D,-23.428043,151.952453,v,-18,0.0019507607251054854,8.901019914641648e-4,3.906559711451032
CBHE_BA1D,-23.428043,151.952453,v,-13,0.0022797048959504428,9.473964774044859e-4,3.7519499911177183
CBHE_BA1D,-23.428043,151.952453,v,-9,0.005262753555555556,-4.864326099413493e-4,-435.0338369518978
CBHE_BA1D,-23.428043,151.952453,v,-5.35,0.008511111782133408,3.692207525740557e-4,4.364026941160483
CBHE_BA1D,-23.428043,151.952453,v,-2.35,0.012689073348097787,0.002151360445134828,1.8624460907358864
CBHE_BA1D,-23.428043,151.952453,v,-0.5,0.016660930848105226,0.004096385991379975,1.3873510647460694
CBHE_BA1D,-23.428043,151.952453,wspeed_u,99999.9,-2.259595180333333,-3.6338317885530302,-0.26895318279962876
